epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4014,1.23679,2.87212,1.20976,0.66428,0.6829,0.71386,0.44392,1.26552,1.9643,1.15791,0.000413333,0.000413333,0.000413333
2,23.4847,1.22674,1.8075,1.18078,0.71172,0.70392,0.73931,0.44631,1.36833,1.51912,1.2529,0.000821783,0.000821783,0.000821783
3,34.2198,1.23716,1.44689,1.20826,0.71902,0.65798,0.72843,0.39718,1.47464,1.30664,1.30925,0.00122198,0.00122198,0.00122198
4,44.8021,1.22128,1.13962,1.18084,0.69901,0.60489,0.68232,0.38294,1.56171,1.63893,1.37736,0.00121287,0.00121287,0.00121287
5,55.4836,1.15589,0.95081,1.13198,0.74459,0.73644,0.78759,0.4887,1.32047,0.99993,1.22402,0.0012005,0.0012005,0.0012005
6,66.0071,1.09531,0.81504,1.09678,0.84111,0.76173,0.83748,0.52795,1.33177,0.94792,1.19222,0.00118812,0.00118812,0.00118812
7,76.5258,1.06009,0.75276,1.07101,0.83878,0.75183,0.86779,0.54989,1.30885,0.93672,1.18241,0.00117575,0.00117575,0.00117575
8,87.0948,1.01537,0.68721,1.05028,0.8373,0.78266,0.858,0.54655,1.28132,0.93889,1.16848,0.00116337,0.00116337,0.00116337
9,97.6326,0.9986,0.66337,1.03991,0.85314,0.78418,0.86298,0.52613,1.38301,0.94957,1.18827,0.001151,0.001151,0.001151
10,108.128,0.94971,0.61293,1.00519,0.82144,0.81316,0.90172,0.58079,1.29609,0.83742,1.16231,0.00113863,0.00113863,0.00113863
11,118.636,0.90002,0.57147,0.98606,0.88842,0.87311,0.91007,0.58555,1.25266,0.79102,1.16636,0.00112625,0.00112625,0.00112625
12,129.19,0.86304,0.55259,0.96589,0.73158,0.7034,0.80791,0.54586,1.26457,1.18389,1.15884,0.00111388,0.00111388,0.00111388
13,139.682,0.844,0.51255,0.95586,0.79344,0.77706,0.8346,0.54363,1.286,0.93636,1.1791,0.0011015,0.0011015,0.0011015
14,150.158,0.81048,0.49388,0.93582,0.89068,0.8259,0.91811,0.6057,1.28057,0.7707,1.17493,0.00108913,0.00108913,0.00108913
15,160.731,0.76828,0.47507,0.9163,0.85052,0.7807,0.90588,0.59107,1.26561,0.88319,1.1467,0.00107675,0.00107675,0.00107675
16,171.217,0.73281,0.45851,0.89752,0.85566,0.78243,0.85471,0.55797,1.29596,0.81358,1.1605,0.00106437,0.00106437,0.00106437
17,181.7,0.7046,0.44448,0.8873,0.89677,0.85703,0.91182,0.60255,1.29148,0.77087,1.18712,0.001052,0.001052,0.001052
18,192.183,0.67877,0.4293,0.87994,0.80202,0.73343,0.86054,0.57174,1.31077,0.99494,1.16942,0.00103962,0.00103962,0.00103962
19,202.744,0.64337,0.41045,0.86551,0.85089,0.78955,0.89171,0.57818,1.30806,0.88552,1.18564,0.00102725,0.00102725,0.00102725
20,213.21,0.62894,0.39718,0.85466,0.8597,0.77952,0.85725,0.5659,1.31881,0.89944,1.21236,0.00101488,0.00101488,0.00101488
21,223.714,0.58746,0.38528,0.83966,0.91229,0.88904,0.926,0.61234,1.31015,0.68692,1.17689,0.0010025,0.0010025,0.0010025
22,234.255,0.5761,0.37125,0.83507,0.85279,0.79609,0.89789,0.59594,1.28128,0.87882,1.1718,0.000990125,0.000990125,0.000990125
23,244.736,0.55212,0.36039,0.82618,0.81175,0.78924,0.87026,0.56545,1.32959,0.913,1.21111,0.00097775,0.00097775,0.00097775
24,255.219,0.51931,0.34421,0.81596,0.8798,0.76226,0.88155,0.59428,1.2465,0.82515,1.16827,0.000965375,0.000965375,0.000965375
25,265.729,0.50142,0.3368,0.80683,0.82582,0.76106,0.83609,0.55245,1.29366,0.92853,1.20043,0.000953,0.000953,0.000953
26,276.269,0.48614,0.32968,0.80315,0.87886,0.81514,0.89852,0.61293,1.27298,0.80573,1.21911,0.000940625,0.000940625,0.000940625
27,286.732,0.47084,0.32595,0.79936,0.87065,0.85106,0.89776,0.61255,1.25856,0.73213,1.18735,0.00092825,0.00092825,0.00092825
28,297.194,0.46039,0.31597,0.79247,0.90508,0.80553,0.90587,0.61051,1.26218,0.79759,1.18599,0.000915875,0.000915875,0.000915875
29,307.742,0.44394,0.3043,0.78868,0.8425,0.82174,0.87647,0.5945,1.25476,0.78386,1.18155,0.0009035,0.0009035,0.0009035
30,318.203,0.42322,0.29454,0.78141,0.84014,0.77317,0.86906,0.59178,1.25957,0.97223,1.2022,0.000891125,0.000891125,0.000891125
31,328.683,0.40358,0.28507,0.77525,0.76402,0.7761,0.80399,0.52961,1.30516,1.31637,1.21291,0.00087875,0.00087875,0.00087875
32,339.157,0.38799,0.28024,0.77271,0.8805,0.81308,0.91694,0.6209,1.25088,0.80578,1.20281,0.000866375,0.000866375,0.000866375
33,349.728,0.37165,0.27219,0.76655,0.78352,0.79576,0.86523,0.58504,1.27697,1.14914,1.20421,0.000854,0.000854,0.000854
34,360.193,0.36996,0.2669,0.76628,0.91234,0.77707,0.89268,0.60862,1.26009,0.77156,1.19871,0.000841625,0.000841625,0.000841625
35,370.66,0.34925,0.25674,0.7616,0.87129,0.8228,0.90597,0.60811,1.26534,0.80412,1.21062,0.00082925,0.00082925,0.00082925
36,381.175,0.35608,0.25709,0.76334,0.85609,0.77547,0.89503,0.6102,1.26599,0.91848,1.20734,0.000816875,0.000816875,0.000816875
37,391.646,0.32814,0.24257,0.75518,0.83293,0.71143,0.83793,0.58452,1.25917,1.20877,1.19966,0.0008045,0.0008045,0.0008045
38,402.118,0.31678,0.23855,0.75302,0.81697,0.83298,0.90253,0.61269,1.25539,0.85954,1.20799,0.000792125,0.000792125,0.000792125
39,412.602,0.30746,0.23125,0.7498,0.84388,0.76927,0.87363,0.59807,1.25061,0.97461,1.2114,0.00077975,0.00077975,0.00077975
40,423.142,0.29727,0.22635,0.74707,0.89423,0.7988,0.92025,0.6314,1.24473,0.78709,1.20146,0.000767375,0.000767375,0.000767375
41,433.617,0.29179,0.22161,0.74706,0.75796,0.80136,0.86579,0.58783,1.26597,1.22211,1.20781,0.000755,0.000755,0.000755
42,444.072,0.28168,0.21451,0.74366,0.8688,0.79499,0.90356,0.61584,1.25487,0.91144,1.22511,0.000742625,0.000742625,0.000742625
43,454.613,0.27661,0.21132,0.74402,0.83252,0.78291,0.87876,0.6029,1.24222,1.01125,1.21466,0.00073025,0.00073025,0.00073025
44,465.088,0.26643,0.20455,0.74143,0.84666,0.81543,0.88259,0.60351,1.25534,0.86781,1.21465,0.000717875,0.000717875,0.000717875
45,475.576,0.25854,0.20306,0.73896,0.8269,0.79021,0.87887,0.60454,1.24476,0.96292,1.21203,0.0007055,0.0007055,0.0007055
46,486.097,0.25451,0.1998,0.7383,0.88704,0.78656,0.8976,0.6211,1.24811,0.86183,1.20526,0.000693125,0.000693125,0.000693125
47,496.571,0.24564,0.19406,0.73671,0.86517,0.78737,0.89572,0.61122,1.26112,0.8996,1.22449,0.00068075,0.00068075,0.00068075
48,507.074,0.23812,0.18941,0.73477,0.84772,0.78617,0.88065,0.60225,1.23014,0.95448,1.20552,0.000668375,0.000668375,0.000668375
49,517.591,0.23163,0.18351,0.734,0.85899,0.74639,0.87303,0.59164,1.25805,1.05366,1.22505,0.000656,0.000656,0.000656
50,528.153,0.22512,0.17909,0.73254,0.86502,0.77706,0.88299,0.60257,1.257,0.95293,1.23751,0.000643625,0.000643625,0.000643625
51,538.659,0.22158,0.17759,0.73224,0.82297,0.8112,0.8876,0.61047,1.24477,0.96153,1.2246,0.00063125,0.00063125,0.00063125
52,549.139,0.21329,0.17219,0.73014,0.84941,0.78687,0.88465,0.60406,1.25787,0.96446,1.23759,0.000618875,0.000618875,0.000618875
53,559.703,0.20544,0.16827,0.72885,0.83944,0.76015,0.87354,0.59845,1.24491,0.99938,1.21451,0.0006065,0.0006065,0.0006065
54,570.187,0.19747,0.16415,0.72784,0.85356,0.77084,0.89614,0.6085,1.25164,0.94967,1.2296,0.000594125,0.000594125,0.000594125
55,580.689,0.18553,0.15768,0.72625,0.88216,0.76558,0.8918,0.60963,1.23999,0.96378,1.22342,0.00058175,0.00058175,0.00058175
56,591.173,0.18725,0.15587,0.72623,0.90897,0.7868,0.90942,0.61916,1.24426,0.83345,1.2353,0.000569375,0.000569375,0.000569375
57,601.732,0.18061,0.15367,0.72555,0.86598,0.78469,0.8938,0.60382,1.23496,0.87611,1.22542,0.000557,0.000557,0.000557
58,612.202,0.18093,0.1523,0.72524,0.89288,0.77998,0.90002,0.60742,1.2577,0.86298,1.24319,0.000544625,0.000544625,0.000544625
59,622.668,0.17827,0.15228,0.72489,0.84963,0.79968,0.89457,0.60732,1.25102,0.93708,1.2431,0.00053225,0.00053225,0.00053225
60,633.236,0.17369,0.14774,0.7244,0.85104,0.77661,0.89296,0.60977,1.25753,0.95033,1.23914,0.000519875,0.000519875,0.000519875
61,643.736,0.17023,0.14378,0.72381,0.88979,0.77856,0.89743,0.61391,1.23887,0.86557,1.238,0.0005075,0.0005075,0.0005075
62,654.223,0.16459,0.14019,0.72296,0.84929,0.75107,0.87309,0.60101,1.25544,1.04697,1.24628,0.000495125,0.000495125,0.000495125
63,667.356,0.15906,0.13739,0.72215,0.89631,0.79078,0.91456,0.62488,1.23844,0.81755,1.2373,0.00048275,0.00048275,0.00048275
64,683.796,0.15483,0.13482,0.72122,0.8385,0.75767,0.87793,0.60273,1.24769,1.07562,1.24305,0.000470375,0.000470375,0.000470375
65,695.233,0.14899,0.13018,0.72094,0.87923,0.77382,0.90437,0.61702,1.23707,0.88829,1.23719,0.000458,0.000458,0.000458
66,705.691,0.14,0.12536,0.72056,0.79967,0.81071,0.88811,0.60746,1.2506,1.00392,1.24222,0.000445625,0.000445625,0.000445625
67,716.209,0.14171,0.12634,0.72052,0.82573,0.81447,0.89568,0.61244,1.23866,0.89863,1.23906,0.00043325,0.00043325,0.00043325
68,726.646,0.13654,0.12245,0.71963,0.83461,0.80491,0.90589,0.62216,1.24172,0.92122,1.24723,0.000420875,0.000420875,0.000420875
69,737.129,0.13415,0.12117,0.71923,0.85004,0.78078,0.8962,0.61655,1.24208,0.96538,1.24601,0.0004085,0.0004085,0.0004085
70,747.634,0.12745,0.11571,0.71915,0.86969,0.77031,0.89698,0.61437,1.2411,1.00089,1.24153,0.000396125,0.000396125,0.000396125
71,758.069,0.12707,0.11557,0.71904,0.84609,0.76785,0.89815,0.61688,1.23978,1.03177,1.24571,0.00038375,0.00038375,0.00038375
72,768.499,0.12418,0.11363,0.71817,0.80076,0.85258,0.90622,0.62261,1.24208,0.92348,1.24561,0.000371375,0.000371375,0.000371375
73,778.947,0.11897,0.11076,0.71806,0.84876,0.77294,0.89253,0.61085,1.23592,0.97209,1.24348,0.000359,0.000359,0.000359
74,789.476,0.11655,0.10957,0.71771,0.86049,0.77311,0.8956,0.61334,1.24599,1.00229,1.25169,0.000346625,0.000346625,0.000346625
75,799.939,0.11453,0.10752,0.71762,0.81503,0.81695,0.90089,0.6153,1.23962,0.97348,1.25058,0.00033425,0.00033425,0.00033425
76,810.396,0.11078,0.10444,0.71686,0.83139,0.80519,0.89827,0.61801,1.23994,1.01127,1.24503,0.000321875,0.000321875,0.000321875
77,820.922,0.10706,0.10194,0.7166,0.85134,0.76443,0.90296,0.62255,1.24665,1.01941,1.25497,0.0003095,0.0003095,0.0003095
78,831.354,0.10051,0.09833,0.7168,0.8228,0.83355,0.91292,0.62703,1.24108,0.97604,1.25541,0.000297125,0.000297125,0.000297125
79,841.803,0.10207,0.0989,0.7167,0.84598,0.74758,0.88922,0.61041,1.24594,1.04832,1.25406,0.00028475,0.00028475,0.00028475
80,852.277,0.0975,0.09565,0.71613,0.86115,0.75552,0.89249,0.61687,1.24507,1.01282,1.25153,0.000272375,0.000272375,0.000272375
81,862.825,0.09376,0.09354,0.71618,0.85616,0.7726,0.89397,0.61294,1.23802,0.99802,1.25501,0.00026,0.00026,0.00026
82,873.274,0.09329,0.09272,0.71559,0.825,0.81477,0.90057,0.61766,1.24209,0.99818,1.25097,0.000247625,0.000247625,0.000247625
83,883.774,0.09172,0.09134,0.71623,0.85176,0.76885,0.89895,0.61804,1.24213,1.03802,1.25584,0.00023525,0.00023525,0.00023525
84,894.294,0.08598,0.08759,0.71557,0.86304,0.75205,0.89385,0.61518,1.24023,1.03999,1.25061,0.000222875,0.000222875,0.000222875
85,904.764,0.085,0.08696,0.71549,0.87585,0.76775,0.90167,0.61912,1.24073,0.96107,1.25769,0.0002105,0.0002105,0.0002105
86,915.213,0.08144,0.08517,0.71516,0.82185,0.83136,0.90279,0.62277,1.23601,0.99278,1.25457,0.000198125,0.000198125,0.000198125
87,925.711,0.07824,0.08236,0.715,0.82675,0.81395,0.90566,0.62301,1.24097,1.00319,1.25937,0.00018575,0.00018575,0.00018575
88,936.121,0.07832,0.08249,0.71487,0.85548,0.76324,0.89505,0.61883,1.24068,1.03588,1.25454,0.000173375,0.000173375,0.000173375
89,946.568,0.07556,0.08025,0.71386,0.86731,0.769,0.89741,0.61505,1.2391,0.99537,1.25915,0.000161,0.000161,0.000161
90,957.028,0.07167,0.07738,0.71455,0.82899,0.80654,0.89913,0.61842,1.23906,1.02943,1.2548,0.000148625,0.000148625,0.000148625
91,993.769,0.06972,0.0758,0.71456,0.82698,0.7987,0.89449,0.61514,1.2385,1.03777,1.26069,0.00013625,0.00013625,0.00013625
92,1004.32,0.06673,0.07333,0.71457,0.83035,0.7921,0.89834,0.61756,1.23997,1.06124,1.2617,0.000123875,0.000123875,0.000123875
93,1014.83,0.0654,0.07231,0.71441,0.82636,0.79624,0.90362,0.62274,1.23781,1.0648,1.26306,0.0001115,0.0001115,0.0001115
94,1025.38,0.06186,0.06974,0.71439,0.8096,0.83086,0.90358,0.62297,1.23908,1.0515,1.26314,9.9125e-05,9.9125e-05,9.9125e-05
95,1035.86,0.06015,0.06793,0.71429,0.86856,0.76328,0.89727,0.61523,1.238,1.04997,1.26297,8.675e-05,8.675e-05,8.675e-05
96,1046.41,0.05797,0.0661,0.71385,0.86133,0.76145,0.90025,0.61846,1.23832,1.05599,1.26415,7.4375e-05,7.4375e-05,7.4375e-05
97,1056.95,0.05517,0.06403,0.71395,0.86866,0.76218,0.89415,0.61648,1.23758,1.05875,1.26433,6.2e-05,6.2e-05,6.2e-05
98,1067.44,0.05428,0.06337,0.71407,0.86336,0.76162,0.89506,0.61631,1.2363,1.06075,1.26385,4.9625e-05,4.9625e-05,4.9625e-05
99,1077.91,0.05273,0.06203,0.71417,0.82065,0.82628,0.89511,0.61436,1.23544,1.05419,1.263,3.725e-05,3.725e-05,3.725e-05
100,1088.38,0.05054,0.05988,0.71367,0.86816,0.7618,0.8969,0.6165,1.23536,1.05046,1.26306,2.4875e-05,2.4875e-05,2.4875e-05
