               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096334,            0.028164,            0.037571,           0.0010837,             0.31045,            0.001221,           0.0002957,             0.07462,            0.016596,            0.031207,            0.070238,           0.0033069,           0.0033069
                   1,             0.08435,            0.024401,            0.034817,           0.0020973,             0.51247,           0.0067506,            0.001624,             0.07109,            0.012782,            0.030467,            0.040172,           0.0065745,           0.0065745
                   2,            0.076423,            0.023621,            0.028783,             0.70895,            0.051698,            0.032885,            0.007594,            0.065992,            0.019712,            0.034044,            0.010041,           0.0097761,           0.0097761
                   3,            0.067636,            0.023406,            0.021366,             0.20353,             0.25326,             0.13673,            0.039788,            0.053645,            0.017285,            0.018303,            0.009703,            0.009703,            0.009703
                   4,            0.061446,            0.023197,            0.017253,             0.44348,             0.29407,             0.28511,            0.095723,            0.053186,            0.013723,            0.016084,            0.009703,            0.009703,            0.009703
                   5,            0.058193,            0.022379,            0.015189,             0.15853,             0.30982,             0.15654,            0.050437,            0.052728,            0.015446,            0.016356,            0.009604,            0.009604,            0.009604
                   6,            0.055111,            0.021861,            0.012132,             0.51713,             0.53109,             0.51841,             0.21215,            0.041033,            0.012515,           0.0092145,            0.009505,            0.009505,            0.009505
                   7,            0.052543,            0.021231,            0.010944,             0.64348,             0.58496,             0.64207,             0.25936,            0.040274,            0.011937,           0.0072408,            0.009406,            0.009406,            0.009406
                   8,            0.051532,            0.020494,            0.011058,             0.56037,             0.54219,             0.56264,             0.22903,            0.040879,            0.013005,           0.0088304,            0.009307,            0.009307,            0.009307
                   9,             0.05021,            0.019731,           0.0095767,             0.63934,             0.62297,             0.64133,             0.28936,            0.039136,            0.011748,           0.0070281,            0.009208,            0.009208,            0.009208
                  10,            0.048687,            0.019662,           0.0096215,             0.72344,             0.59297,             0.67165,              0.2937,            0.039465,            0.011134,           0.0090787,            0.009109,            0.009109,            0.009109
                  11,            0.047862,            0.018851,           0.0086254,             0.42652,             0.30655,             0.30244,              0.1244,            0.056139,            0.012704,            0.011497,             0.00901,             0.00901,             0.00901
                  12,            0.046757,            0.018831,           0.0084104,             0.79892,             0.70052,             0.79881,             0.38257,            0.035264,            0.010145,           0.0055431,            0.008911,            0.008911,            0.008911
                  13,            0.045261,            0.018224,           0.0077694,             0.80395,             0.61448,             0.71515,             0.33583,            0.039652,            0.010476,           0.0066746,            0.008812,            0.008812,            0.008812
                  14,            0.044757,            0.018216,           0.0085409,             0.83058,             0.75436,             0.83869,             0.41143,            0.035228,           0.0095946,           0.0042862,            0.008713,            0.008713,            0.008713
                  15,              0.0439,            0.017585,           0.0079604,             0.86451,             0.80323,             0.87305,             0.45254,            0.033053,           0.0091676,           0.0036994,            0.008614,            0.008614,            0.008614
                  16,            0.043119,            0.017653,            0.007493,             0.80951,             0.68702,             0.76421,             0.39099,            0.036897,            0.010112,           0.0054516,            0.008515,            0.008515,            0.008515
                  17,            0.043208,            0.017267,           0.0072876,             0.87196,             0.78629,             0.85817,             0.42939,            0.034309,           0.0094867,           0.0036455,            0.008416,            0.008416,            0.008416
                  18,             0.04272,              0.0171,           0.0070148,             0.80833,             0.71567,             0.79731,             0.41225,            0.035151,            0.010044,           0.0046775,            0.008317,            0.008317,            0.008317
                  19,            0.041853,            0.016938,           0.0063876,             0.89341,             0.79889,              0.8923,             0.48824,            0.032058,           0.0085286,           0.0035914,            0.008218,            0.008218,            0.008218
                  20,            0.041452,            0.016674,           0.0063501,             0.86077,             0.81067,             0.88533,              0.4795,            0.031765,           0.0085434,           0.0035439,            0.008119,            0.008119,            0.008119
                  21,            0.040725,            0.016229,           0.0061454,             0.89242,             0.82241,              0.9017,             0.49433,            0.030935,           0.0085396,           0.0029335,             0.00802,             0.00802,             0.00802
                  22,            0.040504,            0.016221,           0.0058219,             0.88904,             0.80776,             0.88975,             0.49862,            0.030639,           0.0084584,           0.0029061,            0.007921,            0.007921,            0.007921
                  23,            0.039436,            0.016014,           0.0059935,              0.9245,             0.83708,              0.9221,              0.5087,            0.030947,           0.0083018,           0.0024196,            0.007822,            0.007822,            0.007822
                  24,             0.04011,            0.016036,           0.0062127,             0.88459,             0.80264,             0.89559,             0.49151,            0.030828,             0.00831,            0.004497,            0.007723,            0.007723,            0.007723
                  25,            0.039233,            0.015802,           0.0059145,             0.88774,             0.84092,             0.89805,             0.51415,              0.0297,           0.0080972,           0.0028629,            0.007624,            0.007624,            0.007624
                  26,            0.039188,            0.015509,           0.0053712,              0.9208,             0.83154,             0.91111,             0.51701,            0.030575,           0.0079234,             0.00352,            0.007525,            0.007525,            0.007525
                  27,            0.039095,            0.015544,           0.0056473,             0.89134,             0.85353,             0.92004,              0.5219,            0.029483,           0.0078472,           0.0022837,            0.007426,            0.007426,            0.007426
                  28,            0.038123,            0.015556,           0.0055622,             0.89449,             0.87521,             0.93036,             0.53826,            0.029109,           0.0077945,           0.0025663,            0.007327,            0.007327,            0.007327
                  29,            0.038407,            0.015272,           0.0055214,             0.91569,             0.87861,              0.9365,             0.53346,            0.029526,           0.0076724,           0.0029751,            0.007228,            0.007228,            0.007228
                  30,            0.038443,            0.015234,           0.0057757,             0.91329,             0.85307,             0.92247,             0.54997,            0.028903,           0.0077695,           0.0031295,            0.007129,            0.007129,            0.007129
                  31,            0.037365,            0.014921,            0.004446,             0.92596,             0.88709,             0.93775,             0.56167,            0.028317,           0.0074059,           0.0023333,             0.00703,             0.00703,             0.00703
                  32,            0.037124,            0.015005,           0.0048153,             0.93317,             0.88389,             0.94355,             0.56109,            0.029011,           0.0073732,           0.0024866,            0.006931,            0.006931,            0.006931
                  33,            0.036903,            0.014733,           0.0054524,             0.93383,             0.88404,             0.93841,             0.56907,            0.029468,           0.0073455,            0.002418,            0.006832,            0.006832,            0.006832
                  34,            0.036801,            0.014824,           0.0043293,             0.91676,             0.85239,             0.93597,             0.55354,            0.028344,           0.0074868,           0.0021071,            0.006733,            0.006733,            0.006733
                  35,            0.036339,            0.014483,           0.0045123,             0.90725,             0.89083,             0.94335,             0.57717,            0.027706,           0.0074161,           0.0037449,            0.006634,            0.006634,            0.006634
                  36,            0.036108,            0.014752,           0.0046559,             0.91742,             0.88615,             0.94235,             0.56307,            0.027789,           0.0071809,           0.0026736,            0.006535,            0.006535,            0.006535
                  37,             0.03652,            0.014593,           0.0049015,             0.93136,             0.89534,             0.94542,             0.56105,              0.0273,           0.0073618,           0.0023542,            0.006436,            0.006436,            0.006436
                  38,             0.03621,            0.014556,           0.0046152,             0.94184,             0.88794,             0.95153,             0.57795,            0.027224,           0.0071328,           0.0018809,            0.006337,            0.006337,            0.006337
                  39,            0.035706,             0.01432,           0.0043275,             0.94452,             0.89929,             0.95147,             0.59027,            0.026857,           0.0069683,           0.0019412,            0.006238,            0.006238,            0.006238
                  40,            0.036006,            0.014341,           0.0044812,             0.94318,             0.90135,              0.9542,              0.5865,            0.027426,           0.0069549,           0.0021412,            0.006139,            0.006139,            0.006139
                  41,             0.03587,            0.014376,           0.0041298,             0.90302,             0.90312,             0.94429,             0.57463,            0.028056,           0.0070493,           0.0022508,             0.00604,             0.00604,             0.00604
                  42,            0.035659,            0.014047,           0.0040315,             0.93632,             0.89466,             0.94831,             0.58005,            0.028303,           0.0070962,           0.0019595,            0.005941,            0.005941,            0.005941
                  43,            0.035011,            0.014186,           0.0046565,             0.92663,             0.90825,             0.95747,             0.59875,            0.027015,           0.0067876,           0.0021792,            0.005842,            0.005842,            0.005842
                  44,              0.0349,            0.013921,           0.0039909,             0.94161,             0.91184,             0.95752,             0.59843,            0.026667,           0.0067815,           0.0017032,            0.005743,            0.005743,            0.005743
                  45,            0.034464,            0.013955,            0.003712,             0.92489,             0.92895,             0.95951,             0.60818,            0.026128,           0.0067184,           0.0017049,            0.005644,            0.005644,            0.005644
                  46,            0.034553,            0.013863,           0.0036957,             0.94042,             0.92164,             0.95729,              0.5956,            0.026235,           0.0068648,            0.002165,            0.005545,            0.005545,            0.005545
                  47,            0.034407,            0.013704,           0.0042446,             0.93202,             0.90661,             0.95417,             0.59901,             0.02603,           0.0067621,           0.0018194,            0.005446,            0.005446,            0.005446
                  48,            0.034132,            0.013706,           0.0038083,             0.93698,             0.92325,             0.96393,              0.6098,            0.025571,           0.0065973,           0.0014335,            0.005347,            0.005347,            0.005347
                  49,            0.034085,            0.013597,           0.0033999,              0.9406,             0.93193,             0.96096,             0.60191,            0.026536,           0.0065317,           0.0017907,            0.005248,            0.005248,            0.005248
                  50,            0.033753,            0.013747,           0.0039608,             0.93708,             0.91518,             0.95947,             0.59854,            0.025892,            0.006706,           0.0019182,            0.005149,            0.005149,            0.005149
                  51,            0.033371,            0.013534,           0.0035915,              0.9389,             0.93793,             0.96311,             0.61535,            0.025922,           0.0066138,           0.0015945,             0.00505,             0.00505,             0.00505
                  52,             0.03398,            0.013682,           0.0037608,             0.93864,             0.91799,             0.95904,             0.61719,            0.025668,           0.0065484,           0.0017724,            0.004951,            0.004951,            0.004951
                  53,            0.033523,            0.013447,           0.0034729,             0.94776,              0.9083,             0.96264,             0.61807,            0.025327,           0.0064182,           0.0014388,            0.004852,            0.004852,            0.004852
