               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10038,            0.020747,            0.037958,            0.002537,            0.018173,           0.0014344,          0.00034144,            0.080945,             0.01275,            0.032853,            0.070238,           0.0033069,           0.0033069
                   1,            0.083901,            0.017647,            0.034888,           0.0017589,             0.52176,           0.0037557,          0.00085793,            0.072897,           0.0095184,             0.03061,            0.040172,           0.0065745,           0.0065745
                   2,            0.080132,            0.016411,            0.031886,           0.0021016,             0.55001,           0.0031923,           0.0007311,            0.086586,           0.0082938,            0.040279,            0.010041,           0.0097761,           0.0097761
                   3,            0.074167,            0.016553,              0.0268,             0.71056,            0.061728,            0.038765,            0.012487,            0.066799,            0.013146,            0.027554,            0.009703,            0.009703,            0.009703
                   4,            0.067309,            0.016998,            0.021789,             0.11359,             0.18979,             0.12895,            0.040602,            0.056402,           0.0097565,            0.016138,            0.009703,            0.009703,            0.009703
                   5,            0.063762,             0.01605,            0.018615,             0.24198,             0.29373,             0.18904,            0.060406,            0.051719,           0.0098099,            0.013974,            0.009604,            0.009604,            0.009604
                   6,            0.059328,            0.015752,            0.015401,             0.35232,             0.41181,             0.27181,            0.086686,            0.050772,           0.0087326,             0.01162,            0.009505,            0.009505,            0.009505
                   7,            0.056257,            0.015383,            0.014058,             0.31443,             0.45511,             0.35747,             0.11375,            0.047978,           0.0095696,            0.010631,            0.009406,            0.009406,            0.009406
                   8,            0.054405,             0.01469,            0.012462,             0.51062,              0.4601,             0.44223,             0.15775,            0.046139,            0.010019,            0.011553,            0.009307,            0.009307,            0.009307
                   9,            0.051988,            0.014395,            0.010841,             0.58184,             0.52523,             0.56874,             0.22326,            0.041965,           0.0080615,           0.0078948,            0.009208,            0.009208,            0.009208
                  10,            0.049908,            0.014246,            0.010061,             0.57623,             0.57326,             0.57763,             0.22768,            0.040565,           0.0084635,           0.0074209,            0.009109,            0.009109,            0.009109
                  11,            0.048666,            0.013656,           0.0098959,              0.6349,              0.5283,             0.58547,             0.23258,            0.042382,           0.0081035,           0.0092196,             0.00901,             0.00901,             0.00901
                  12,            0.047925,            0.013628,           0.0091985,             0.59432,             0.61848,             0.61816,             0.27495,            0.039334,           0.0071128,           0.0063808,            0.008911,            0.008911,            0.008911
                  13,            0.046406,            0.013069,            0.008653,             0.69981,              0.6653,             0.70678,             0.31798,            0.037585,           0.0068585,           0.0056032,            0.008812,            0.008812,            0.008812
                  14,            0.045401,            0.012981,           0.0088189,              0.7582,             0.71417,             0.76321,             0.36843,            0.036486,           0.0066754,           0.0049729,            0.008713,            0.008713,            0.008713
                  15,            0.044393,            0.012507,           0.0082794,             0.80595,             0.70814,             0.78192,             0.36952,            0.036958,           0.0065661,           0.0044447,            0.008614,            0.008614,            0.008614
                  16,             0.04382,            0.012401,           0.0074995,               0.814,             0.74041,             0.82184,             0.41072,            0.034594,           0.0063801,           0.0046128,            0.008515,            0.008515,            0.008515
                  17,            0.043351,            0.012108,           0.0074424,              0.8132,             0.74251,             0.82867,             0.38599,            0.035003,           0.0063124,           0.0046026,            0.008416,            0.008416,            0.008416
                  18,            0.042628,            0.011894,            0.006966,             0.83167,             0.78074,             0.84193,             0.42278,            0.033259,            0.005973,           0.0036239,            0.008317,            0.008317,            0.008317
