               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.06963,            0.022144,            0.027432,             0.69385,              0.7195,             0.73805,             0.35017,            0.036424,           0.0092111,           0.0095438,            0.070119,           0.0033201,           0.0033201
                   1,            0.052568,            0.015466,            0.010291,             0.78934,             0.79446,             0.85629,             0.43842,            0.034256,           0.0076517,           0.0053448,            0.040053,           0.0065876,           0.0065876
                   2,            0.049625,            0.014364,            0.008292,             0.79919,             0.78604,             0.82816,             0.40066,            0.036807,           0.0076675,           0.0047662,           0.0099213,            0.009789,            0.009789
                   3,            0.045919,            0.014704,           0.0075686,              0.7895,             0.74326,             0.83856,             0.41903,             0.03151,           0.0090912,            0.006178,            0.009703,            0.009703,            0.009703
                   4,            0.043472,            0.014968,           0.0070213,              0.8389,             0.86421,             0.90492,             0.49842,            0.029813,           0.0074394,           0.0039017,            0.009703,            0.009703,            0.009703
                   5,            0.041522,            0.014098,           0.0066412,             0.89364,             0.87658,              0.9276,             0.52568,            0.028651,           0.0075309,           0.0033233,            0.009604,            0.009604,            0.009604
                   6,            0.040455,            0.014158,            0.006401,             0.89529,             0.87695,             0.93627,             0.51383,            0.028612,           0.0071766,           0.0025621,            0.009505,            0.009505,            0.009505
                   7,            0.038438,            0.013632,           0.0058113,             0.90718,             0.90547,             0.94314,             0.50576,            0.028658,            0.006899,           0.0025209,            0.009406,            0.009406,            0.009406
                   8,            0.037002,            0.013161,           0.0053943,              0.9144,             0.91237,             0.94903,             0.58863,            0.025902,           0.0066356,           0.0032284,            0.009307,            0.009307,            0.009307
                   9,            0.036815,            0.013496,           0.0048009,             0.89941,             0.86445,             0.94133,             0.55005,            0.026144,            0.007079,           0.0031535,            0.009208,            0.009208,            0.009208
                  10,            0.036236,            0.012777,           0.0051428,             0.93082,             0.90112,              0.9528,             0.59365,            0.025748,           0.0065616,            0.003128,            0.009109,            0.009109,            0.009109
                  11,            0.034982,            0.012876,           0.0048491,             0.93899,             0.90167,             0.95998,             0.60653,            0.024998,           0.0063777,           0.0020713,             0.00901,             0.00901,             0.00901
                  12,            0.035163,            0.012507,           0.0046161,             0.93177,             0.91288,             0.96664,             0.60001,            0.024826,           0.0063498,           0.0017183,            0.008911,            0.008911,            0.008911
                  13,            0.034226,            0.012603,           0.0041682,             0.94571,             0.92613,             0.97208,             0.61645,            0.024104,           0.0060699,           0.0023026,            0.008812,            0.008812,            0.008812
                  14,            0.033994,            0.012402,            0.004331,             0.94405,              0.9264,             0.96787,              0.6244,            0.023489,           0.0061052,           0.0026525,            0.008713,            0.008713,            0.008713
                  15,            0.033577,            0.012267,           0.0044831,             0.93888,             0.92595,             0.96153,             0.60346,            0.023587,           0.0061694,           0.0017525,            0.008614,            0.008614,            0.008614
                  16,            0.033195,            0.012158,           0.0035242,              0.9431,             0.93146,             0.96592,             0.63716,            0.022801,           0.0060258,           0.0020502,            0.008515,            0.008515,            0.008515
                  17,            0.033275,            0.012293,            0.003918,             0.93627,             0.92887,              0.9676,             0.61555,            0.023735,           0.0060695,            0.001842,            0.008416,            0.008416,            0.008416
                  18,            0.032802,            0.012196,           0.0042908,             0.93351,             0.92604,             0.96998,             0.63662,            0.022851,           0.0060053,           0.0023459,            0.008317,            0.008317,            0.008317
                  19,            0.032764,            0.012045,           0.0032172,             0.94907,             0.93813,             0.97389,              0.6472,            0.022306,           0.0059252,           0.0023479,            0.008218,            0.008218,            0.008218
                  20,            0.032346,            0.011881,           0.0036436,             0.93905,             0.92454,             0.95869,             0.61286,            0.023912,            0.006157,           0.0020165,            0.008119,            0.008119,            0.008119
                  21,            0.032204,            0.011936,           0.0035873,             0.95808,             0.93423,             0.97524,             0.65569,            0.021997,            0.005666,           0.0014329,             0.00802,             0.00802,             0.00802
                  22,             0.03158,            0.011603,           0.0029551,             0.94711,             0.93299,             0.96894,             0.63957,             0.02237,           0.0058519,           0.0019513,            0.007921,            0.007921,            0.007921
                  23,             0.03135,            0.011794,           0.0031941,             0.94952,             0.94591,             0.97507,             0.64555,            0.021536,           0.0057595,           0.0017154,            0.007822,            0.007822,            0.007822
                  24,            0.031624,            0.011797,           0.0033432,             0.95733,             0.94343,             0.97624,              0.6531,             0.02224,           0.0057998,           0.0015885,            0.007723,            0.007723,            0.007723
