epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0584,1.18808,2.10491,1.21248,0.8076,0.80065,0.86803,0.5149,1.30928,1.475,1.22543,0.000474443,0.000474443,0.000474443
2,43.1625,1.22729,1.33447,1.22655,0.7724,0.7347,0.80407,0.45142,1.41345,1.23258,1.31305,0.000941364,0.000941364,0.000941364
3,62.613,1.20772,0.98823,1.21915,0.74823,0.77063,0.81779,0.4668,1.45056,1.2335,1.3058,0.00139885,0.00139885,0.00139885
4,95.2521,1.17114,0.83965,1.19277,0.73422,0.69875,0.80384,0.46529,1.45866,1.37341,1.32463,0.00138656,0.00138656,0.00138656
5,124.187,1.09616,0.73053,1.1468,0.85858,0.78625,0.8853,0.55413,1.30841,1.12349,1.22584,0.00137241,0.00137241,0.00137241
6,153.289,1.04784,0.65952,1.11294,0.86502,0.81044,0.89989,0.57059,1.30339,0.95129,1.21081,0.00135826,0.00135826,0.00135826
7,182.285,0.99031,0.6113,1.07958,0.91346,0.87171,0.9358,0.59857,1.29661,0.80625,1.20072,0.00134412,0.00134412,0.00134412
8,208.242,0.9383,0.56512,1.04747,0.89341,0.85306,0.93482,0.59756,1.26813,0.83891,1.18027,0.00132997,0.00132997,0.00132997
9,232.994,0.91795,0.53722,1.03479,0.92401,0.84973,0.93364,0.6022,1.2433,0.81268,1.16762,0.00131582,0.00131582,0.00131582
10,257.876,0.86466,0.50704,1.00402,0.90871,0.85097,0.93622,0.60171,1.27901,0.78679,1.20023,0.00130168,0.00130168,0.00130168
11,277.085,0.83394,0.47817,0.98656,0.89896,0.83992,0.92733,0.60882,1.25636,0.92337,1.18964,0.00128753,0.00128753,0.00128753
12,296.494,0.80641,0.46674,0.96968,0.92971,0.89592,0.95149,0.6214,1.23418,0.7083,1.17364,0.00127338,0.00127338,0.00127338
13,315.852,0.76423,0.44461,0.94804,0.9198,0.88896,0.94285,0.6253,1.19894,0.6924,1.15942,0.00125923,0.00125923,0.00125923
14,338.428,0.72622,0.42616,0.93059,0.9036,0.90282,0.94232,0.61782,1.24361,0.71138,1.17963,0.00124509,0.00124509,0.00124509
15,367.22,0.69661,0.40784,0.91609,0.87905,0.90202,0.93317,0.611,1.26168,0.74132,1.1899,0.00123094,0.00123094,0.00123094
16,396.065,0.65631,0.39028,0.89553,0.87754,0.90592,0.93552,0.61949,1.22541,0.75312,1.17776,0.00121679,0.00121679,0.00121679
17,424.856,0.62153,0.37393,0.87865,0.91838,0.90355,0.94731,0.63191,1.19301,0.68561,1.18073,0.00120265,0.00120265,0.00120265
18,453.732,0.60275,0.36476,0.87175,0.92413,0.89893,0.94495,0.613,1.25499,0.72144,1.21737,0.0011885,0.0011885,0.0011885
19,482.567,0.56175,0.34614,0.85647,0.89446,0.90139,0.93522,0.6215,1.22756,0.75318,1.19416,0.00117435,0.00117435,0.00117435
20,506.776,0.5446,0.33771,0.84828,0.90243,0.89163,0.93418,0.61137,1.24696,0.7693,1.21985,0.00116021,0.00116021,0.00116021
21,535.554,0.50655,0.31911,0.83393,0.92495,0.87479,0.93853,0.61509,1.22881,0.73307,1.21882,0.00114606,0.00114606,0.00114606
22,564.355,0.49076,0.31323,0.82793,0.91857,0.90641,0.94576,0.63317,1.22878,0.70539,1.21938,0.00113191,0.00113191,0.00113191
23,593.125,0.46577,0.30248,0.81783,0.9115,0.9037,0.94055,0.62176,1.20408,0.68678,1.21554,0.00111776,0.00111776,0.00111776
24,621.908,0.45429,0.29576,0.81527,0.90914,0.89111,0.93663,0.623,1.21725,0.77186,1.22064,0.00110362,0.00110362,0.00110362
25,650.609,0.42893,0.28416,0.80547,0.91723,0.90809,0.94366,0.6277,1.20105,0.68716,1.20995,0.00108947,0.00108947,0.00108947
26,679.299,0.41119,0.27384,0.80065,0.91909,0.91311,0.94885,0.6432,1.1959,0.67159,1.20912,0.00107532,0.00107532,0.00107532
27,708.11,0.39026,0.26444,0.79363,0.92903,0.89173,0.94793,0.64511,1.18871,0.67454,1.2042,0.00106118,0.00106118,0.00106118
28,737.073,0.37856,0.25969,0.78928,0.93918,0.9037,0.9456,0.6336,1.20389,0.67281,1.22708,0.00104703,0.00104703,0.00104703
29,765.648,0.36622,0.2525,0.78642,0.93615,0.89046,0.94269,0.63784,1.18472,0.65713,1.22001,0.00103288,0.00103288,0.00103288
30,794.212,0.35699,0.24678,0.78253,0.91047,0.90152,0.9428,0.6337,1.21425,0.73806,1.25344,0.00101873,0.00101873,0.00101873
31,822.624,0.34409,0.23974,0.77995,0.90994,0.90704,0.94727,0.63451,1.19552,0.70898,1.22662,0.00100459,0.00100459,0.00100459
32,851.161,0.33167,0.2349,0.7763,0.93218,0.8691,0.94393,0.63194,1.20909,0.73093,1.239,0.00099044,0.00099044,0.00099044
33,879.62,0.32446,0.23238,0.77464,0.93689,0.88025,0.94662,0.6332,1.18825,0.67169,1.22658,0.000976293,0.000976293,0.000976293
34,908.043,0.31405,0.2245,0.77204,0.90185,0.90087,0.94582,0.63696,1.21609,0.76065,1.24984,0.000962146,0.000962146,0.000962146
35,936.389,0.29683,0.2172,0.76863,0.91377,0.88399,0.94058,0.6403,1.19815,0.70411,1.23536,0.000947999,0.000947999,0.000947999
36,964.963,0.29232,0.21117,0.7674,0.91348,0.91248,0.94445,0.63144,1.2126,0.65807,1.23491,0.000933851,0.000933851,0.000933851
37,993.436,0.28706,0.20942,0.76536,0.91968,0.89577,0.93948,0.62952,1.20357,0.7144,1.23375,0.000919704,0.000919704,0.000919704
38,1021.86,0.27723,0.20619,0.76288,0.9327,0.90676,0.94896,0.64179,1.19399,0.64991,1.23158,0.000905557,0.000905557,0.000905557
39,1050.25,0.27013,0.19885,0.76101,0.92345,0.91524,0.94877,0.64627,1.19633,0.67872,1.23983,0.00089141,0.00089141,0.00089141
40,1078.8,0.25763,0.19282,0.75858,0.92626,0.91249,0.94963,0.643,1.19257,0.65986,1.23248,0.000877263,0.000877263,0.000877263
41,1107.12,0.25497,0.19014,0.75832,0.939,0.88331,0.94207,0.64009,1.19651,0.68247,1.24594,0.000863116,0.000863116,0.000863116
42,1135.5,0.24741,0.18566,0.75785,0.92857,0.90231,0.94677,0.64754,1.19039,0.68818,1.24023,0.000848969,0.000848969,0.000848969
43,1163.88,0.23425,0.1791,0.75477,0.93439,0.89123,0.94695,0.63983,1.1998,0.67772,1.25023,0.000834822,0.000834822,0.000834822
44,1192.33,0.23049,0.17658,0.75435,0.92836,0.8766,0.94591,0.63903,1.20572,0.69673,1.25353,0.000820675,0.000820675,0.000820675
45,1220.78,0.22352,0.17233,0.75181,0.91308,0.91001,0.94435,0.65012,1.18673,0.6855,1.23958,0.000806528,0.000806528,0.000806528
46,1249.3,0.21906,0.16973,0.75078,0.93649,0.90947,0.95206,0.65782,1.16859,0.65387,1.24074,0.00079238,0.00079238,0.00079238
47,1271.61,0.21223,0.1637,0.75033,0.91891,0.90461,0.94818,0.6476,1.18118,0.68609,1.25214,0.000778233,0.000778233,0.000778233
48,1290.9,0.21282,0.16466,0.75031,0.92787,0.91068,0.95086,0.65057,1.1787,0.65777,1.25226,0.000764086,0.000764086,0.000764086
49,1310.17,0.20974,0.16384,0.74901,0.92593,0.90385,0.94938,0.64772,1.18844,0.66421,1.25555,0.000749939,0.000749939,0.000749939
50,1329.42,0.20292,0.15979,0.74817,0.92427,0.91054,0.94871,0.64918,1.17799,0.65993,1.25129,0.000735792,0.000735792,0.000735792
51,1348.67,0.20269,0.15899,0.74832,0.91434,0.91426,0.94699,0.64436,1.18379,0.67205,1.25361,0.000721645,0.000721645,0.000721645
52,1367.88,0.1933,0.1526,0.74686,0.92419,0.89864,0.94666,0.65092,1.18598,0.66875,1.25348,0.000707498,0.000707498,0.000707498
53,1387.27,0.18349,0.14803,0.7451,0.93692,0.88845,0.94742,0.65166,1.1798,0.66234,1.2568,0.000693351,0.000693351,0.000693351
54,1406.48,0.17634,0.14359,0.74465,0.90819,0.92772,0.949,0.65421,1.17221,0.66754,1.25431,0.000679204,0.000679204,0.000679204
55,1425.7,0.17688,0.14315,0.74434,0.91785,0.90563,0.9465,0.64892,1.18805,0.69494,1.26134,0.000665057,0.000665057,0.000665057
56,1444.92,0.17085,0.14007,0.74306,0.92202,0.90517,0.95116,0.65129,1.17525,0.67301,1.25844,0.000650909,0.000650909,0.000650909
57,1464.16,0.16713,0.1365,0.74267,0.92142,0.90342,0.94669,0.6464,1.17602,0.67994,1.25772,0.000636762,0.000636762,0.000636762
58,1483.45,0.16497,0.13612,0.7427,0.91263,0.90732,0.94368,0.64609,1.18173,0.68283,1.2654,0.000622615,0.000622615,0.000622615
59,1503.07,0.15922,0.13166,0.74156,0.93804,0.88519,0.94807,0.6546,1.17633,0.69884,1.25401,0.000608468,0.000608468,0.000608468
60,1522.39,0.1579,0.13011,0.74093,0.92998,0.90152,0.94926,0.65397,1.17697,0.67364,1.2573,0.000594321,0.000594321,0.000594321
61,1541.73,0.15533,0.12827,0.7406,0.92764,0.91358,0.95266,0.66147,1.17202,0.67174,1.25222,0.000580174,0.000580174,0.000580174
62,1560.96,0.14879,0.12512,0.73969,0.91637,0.90955,0.94629,0.65012,1.1833,0.69153,1.27008,0.000566027,0.000566027,0.000566027
63,1580.15,0.14641,0.12392,0.74023,0.92984,0.90262,0.94741,0.65133,1.17199,0.69043,1.26298,0.00055188,0.00055188,0.00055188
64,1599.38,0.14177,0.12001,0.73926,0.91942,0.90925,0.94806,0.65319,1.17234,0.67525,1.26065,0.000537733,0.000537733,0.000537733
65,1618.55,0.14074,0.11909,0.7387,0.92499,0.90573,0.94873,0.65474,1.17948,0.70769,1.26615,0.000523586,0.000523586,0.000523586
66,1638,0.13564,0.1172,0.73901,0.93239,0.89215,0.94972,0.65148,1.17794,0.69231,1.26764,0.000509438,0.000509438,0.000509438
67,1657.2,0.13098,0.11338,0.73873,0.92542,0.90534,0.94786,0.65241,1.17895,0.70138,1.26561,0.000495291,0.000495291,0.000495291
68,1676.39,0.13059,0.11257,0.73753,0.92836,0.89755,0.94869,0.65124,1.18344,0.71604,1.27699,0.000481144,0.000481144,0.000481144
69,1695.66,0.12781,0.11144,0.73745,0.92213,0.91487,0.95298,0.65831,1.179,0.68356,1.27227,0.000466997,0.000466997,0.000466997
70,1714.83,0.12486,0.10916,0.73766,0.92961,0.9043,0.94997,0.65849,1.16862,0.69033,1.26293,0.00045285,0.00045285,0.00045285
71,1734.03,0.11913,0.10565,0.7371,0.93738,0.8952,0.95009,0.65312,1.18279,0.71736,1.27701,0.000438703,0.000438703,0.000438703
72,1753.21,0.11748,0.10537,0.73557,0.92462,0.90537,0.95202,0.65532,1.17236,0.69177,1.27142,0.000424556,0.000424556,0.000424556
73,1772.43,0.11527,0.10343,0.73785,0.9213,0.91225,0.95041,0.65872,1.17295,0.69176,1.27071,0.000410409,0.000410409,0.000410409
74,1791.63,0.11043,0.10006,0.73602,0.93125,0.90314,0.94993,0.6582,1.17191,0.70727,1.27043,0.000396262,0.000396262,0.000396262
75,1811,0.10724,0.09773,0.73571,0.9288,0.89883,0.94907,0.65835,1.1755,0.71057,1.28147,0.000382115,0.000382115,0.000382115
76,1830.58,0.10721,0.09732,0.7355,0.94361,0.89212,0.95446,0.66017,1.17533,0.69657,1.27461,0.000367967,0.000367967,0.000367967
77,1850,0.10432,0.09541,0.73586,0.91773,0.90774,0.95236,0.66156,1.17277,0.71923,1.27612,0.00035382,0.00035382,0.00035382
78,1869.33,0.09805,0.09205,0.73546,0.92498,0.90612,0.95052,0.66139,1.167,0.71189,1.2752,0.000339673,0.000339673,0.000339673
79,1888.73,0.0976,0.09147,0.73479,0.918,0.91472,0.95124,0.6602,1.17308,0.71834,1.2786,0.000325526,0.000325526,0.000325526
80,1907.93,0.09406,0.08881,0.73483,0.9191,0.91678,0.95289,0.66419,1.16664,0.71072,1.27282,0.000311379,0.000311379,0.000311379
81,1927.12,0.09153,0.08778,0.73446,0.92889,0.89667,0.95031,0.65824,1.17185,0.72767,1.27528,0.000297232,0.000297232,0.000297232
82,1946.35,0.08839,0.08559,0.73424,0.91872,0.90765,0.95089,0.66133,1.1675,0.71839,1.27518,0.000283085,0.000283085,0.000283085
83,1965.51,0.08547,0.08404,0.73375,0.92935,0.91117,0.95265,0.6612,1.17297,0.7187,1.28275,0.000268938,0.000268938,0.000268938
84,1984.76,0.08405,0.08249,0.73397,0.93518,0.89378,0.95258,0.65985,1.174,0.72852,1.28499,0.000254791,0.000254791,0.000254791
85,2003.96,0.08042,0.08038,0.73371,0.92975,0.89902,0.95147,0.65955,1.17418,0.73269,1.28745,0.000240644,0.000240644,0.000240644
86,2023.16,0.07812,0.07814,0.73328,0.92163,0.91339,0.9551,0.66296,1.1702,0.72359,1.28235,0.000226497,0.000226497,0.000226497
87,2042.39,0.07463,0.07609,0.73358,0.92132,0.91461,0.95341,0.66108,1.17559,0.73454,1.28902,0.000212349,0.000212349,0.000212349
88,2061.63,0.07191,0.07411,0.73329,0.92398,0.9142,0.95221,0.66298,1.17039,0.72791,1.28512,0.000198202,0.000198202,0.000198202
89,2080.81,0.07069,0.07302,0.73227,0.94201,0.89312,0.95351,0.66317,1.17134,0.73736,1.28595,0.000184055,0.000184055,0.000184055
90,2100.01,0.06797,0.07151,0.73258,0.92159,0.90944,0.95439,0.66501,1.17146,0.7448,1.28821,0.000169908,0.000169908,0.000169908
91,2173.19,0.06587,0.06981,0.73286,0.92371,0.91103,0.95339,0.66215,1.17291,0.73846,1.2888,0.000155761,0.000155761,0.000155761
92,2192.5,inf,0.06793,0.73321,0.91921,0.91451,0.95268,0.66269,1.171,0.74139,1.28901,0.000141614,0.000141614,0.000141614
93,2212.18,0.06079,0.06594,0.73256,0.92234,0.91396,0.95255,0.66274,1.17057,0.74701,1.28914,0.000127467,0.000127467,0.000127467
94,2231.53,0.05926,0.06477,0.73305,0.91728,0.91644,0.95328,0.66309,1.16942,0.74614,1.29005,0.00011332,0.00011332,0.00011332
95,2250.84,0.05666,0.06257,0.73255,0.91496,0.91473,0.95344,0.66199,1.17199,0.75331,1.29251,9.91726e-05,9.91726e-05,9.91726e-05
96,2270.27,0.05476,0.06109,0.73275,0.91945,0.91378,0.95315,0.66298,1.17164,0.75565,1.29304,8.50255e-05,8.50255e-05,8.50255e-05
97,2289.66,0.05259,0.05937,0.73277,0.92386,0.91164,0.95382,0.66331,1.17162,0.75608,1.29143,7.08784e-05,7.08784e-05,7.08784e-05
98,2308.82,0.0506,0.05788,0.73183,0.92426,0.91231,0.95373,0.66416,1.17162,0.76367,1.29281,5.67313e-05,5.67313e-05,5.67313e-05
99,2328.1,0.04897,0.05678,0.73138,0.92002,0.91569,0.95355,0.66385,1.17219,0.76775,1.29393,4.25842e-05,4.25842e-05,4.25842e-05
100,2347.32,0.04742,0.05515,0.73261,0.9211,0.91524,0.95314,0.66384,1.17261,0.77138,1.29525,2.84371e-05,2.84371e-05,2.84371e-05
