epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1035,1.17847,5.35241,1.25336,0.54578,0.46857,0.50163,0.29274,1.24915,3.99939,1.30452,0.000472553,0.000472553,0.000472553
2,51.6738,1.38039,3.10035,1.30742,0.61349,0.57334,0.60255,0.3302,1.40802,1.86793,1.395,0.000939492,0.000939492,0.000939492
3,76.1277,1.41618,1.94102,1.32013,0.47963,0.45225,0.39188,0.20206,1.61838,3.01984,1.58103,0.001397,0.001397,0.001397
4,100.375,1.47694,1.56795,1.32993,0.60271,0.48919,0.52504,0.27602,1.69241,2.59024,1.61796,0.00138656,0.00138656,0.00138656
5,124.04,1.42304,1.34095,1.29393,0.75198,0.71143,0.78506,0.45478,1.46051,1.20045,1.32684,0.00137241,0.00137241,0.00137241
6,148.65,1.38516,1.19561,1.26625,0.77122,0.67113,0.75656,0.46058,1.44547,1.27547,1.38729,0.00135826,0.00135826,0.00135826
7,172.508,1.38259,1.13372,1.25679,0.75951,0.71936,0.78852,0.46939,1.45486,1.08615,1.3123,0.00134412,0.00134412,0.00134412
8,196.336,1.35164,1.07269,1.24612,0.81017,0.83465,0.88886,0.57196,1.30671,0.78027,1.18745,0.00132997,0.00132997,0.00132997
9,221.005,1.3268,1.01039,1.22949,0.85851,0.84386,0.92011,0.60397,1.23183,0.66297,1.16826,0.00131582,0.00131582,0.00131582
10,244.91,1.30838,0.971,1.223,0.82588,0.86426,0.91286,0.58774,1.26036,0.69002,1.1818,0.00130168,0.00130168,0.00130168
11,268.654,1.30423,0.9432,1.21561,0.86767,0.85317,0.92262,0.60836,1.2485,0.67391,1.16473,0.00128753,0.00128753,0.00128753
12,293.301,1.29237,0.92357,1.21273,0.87162,0.86316,0.9239,0.60155,1.25557,0.65239,1.17691,0.00127338,0.00127338,0.00127338
13,316.965,1.29204,0.89644,1.20436,0.87314,0.8415,0.91364,0.60296,1.26731,0.69258,1.19361,0.00125923,0.00125923,0.00125923
14,341.123,1.28733,0.87917,1.21025,0.88717,0.88038,0.93883,0.63449,1.16778,0.57831,1.1229,0.00124509,0.00124509,0.00124509
15,365.45,1.24832,0.8384,1.18362,0.88697,0.9049,0.95203,0.65252,1.16645,0.52355,1.11415,0.00123094,0.00123094,0.00123094
16,389.95,1.23974,0.81137,1.18114,0.901,0.89235,0.94932,0.64984,1.13721,0.55901,1.10543,0.00121679,0.00121679,0.00121679
17,414.492,1.23237,0.79527,1.17188,0.91567,0.88901,0.95287,0.6648,1.12056,0.5032,1.08859,0.00120265,0.00120265,0.00120265
18,438.66,1.20595,0.74174,1.15677,0.90798,0.89796,0.94405,0.6385,1.19177,0.54178,1.13583,0.0011885,0.0011885,0.0011885
19,462.585,1.22793,0.76167,1.16749,0.92026,0.89407,0.9503,0.6593,1.13057,0.52256,1.09423,0.00117435,0.00117435,0.00117435
