epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6679,1.29738,2.2984,1.31172,0.70079,0.56582,0.6682,0.35187,1.59396,2.09563,1.52744,0.000472553,0.000472553,0.000472553
2,46.5108,1.35438,1.54675,1.30856,0.74943,0.68245,0.764,0.40333,1.54412,1.67146,1.42386,0.000939492,0.000939492,0.000939492
3,66.7935,1.37149,1.30026,1.32402,0.70753,0.59867,0.65557,0.33674,1.76497,1.79809,1.66973,0.001397,0.001397,0.001397
4,87.5102,1.39005,1.21131,1.33024,0.81442,0.73298,0.8153,0.45665,1.51621,1.21722,1.43437,0.00138656,0.00138656,0.00138656
5,107.945,1.32837,1.06858,1.29501,0.82638,0.79777,0.8598,0.51064,1.47221,1.09231,1.39287,0.00137241,0.00137241,0.00137241
6,127.677,1.27977,1.00056,1.26748,0.86523,0.82634,0.90944,0.5847,1.25495,0.90542,1.21823,0.00135826,0.00135826,0.00135826
7,147.601,1.27691,0.95106,1.25873,0.88468,0.86211,0.92724,0.58307,1.29695,0.81428,1.23841,0.00134412,0.00134412,0.00134412
8,167.066,1.24908,0.91088,1.24788,0.86803,0.82625,0.89856,0.55773,1.29576,0.99452,1.23882,0.00132997,0.00132997,0.00132997
9,186.499,1.2387,0.87753,1.24372,0.89409,0.85537,0.92106,0.55228,1.30317,0.82771,1.24013,0.00131582,0.00131582,0.00131582
10,206.637,1.21106,0.84939,1.22587,0.89195,0.89693,0.94411,0.60274,1.23053,0.744,1.20404,0.00130168,0.00130168,0.00130168
11,226.085,1.19088,0.82472,1.20965,0.95163,0.89992,0.95951,0.64152,1.16347,0.66973,1.15107,0.00128753,0.00128753,0.00128753
12,245.461,1.1883,0.81578,1.22094,0.92049,0.91034,0.95573,0.62862,1.17362,0.66958,1.17821,0.00127338,0.00127338,0.00127338
13,265.127,1.18308,0.79929,1.20812,0.91714,0.91559,0.95512,0.61919,1.19723,0.68873,1.17977,0.00125923,0.00125923,0.00125923
14,284.88,1.1812,0.78707,1.20938,0.91289,0.88112,0.94761,0.64301,1.17453,0.71981,1.1709,0.00124509,0.00124509,0.00124509
15,304.127,1.15994,0.77013,1.18884,0.94359,0.93753,0.972,0.65184,1.1539,0.61124,1.12868,0.00123094,0.00123094,0.00123094
16,324.169,1.1505,0.75289,1.18878,0.94474,0.93162,0.96429,0.65613,1.13572,0.58566,1.12192,0.00121679,0.00121679,0.00121679
17,343.581,1.13499,0.75305,1.1849,0.93098,0.93432,0.97116,0.67804,1.09404,0.58106,1.10131,0.00120265,0.00120265,0.00120265
18,363.056,1.10949,0.70773,1.16225,0.9225,0.93089,0.96799,0.66328,1.12388,0.58602,1.10472,0.0011885,0.0011885,0.0011885
19,382.932,1.1198,0.7118,1.1708,0.94441,0.94546,0.9693,0.67236,1.08625,0.55031,1.08911,0.00117435,0.00117435,0.00117435
20,402.438,1.1081,0.70721,1.1661,0.94895,0.93755,0.9679,0.67532,1.09535,0.55929,1.10048,0.00116021,0.00116021,0.00116021
21,422.271,1.08372,0.69368,1.15156,0.9478,0.93635,0.97013,0.66308,1.11585,0.56945,1.11532,0.00114606,0.00114606,0.00114606
22,441.859,1.09478,0.69926,1.15975,0.9545,0.94541,0.97716,0.69594,1.06657,0.52524,1.08045,0.00113191,0.00113191,0.00113191
23,461.702,1.09711,0.68853,1.16086,0.95989,0.94549,0.97249,0.66695,1.1244,0.54154,1.10797,0.00111776,0.00111776,0.00111776
24,481.704,1.0769,0.66926,1.15177,0.93114,0.94691,0.96963,0.6901,1.07102,0.53786,1.07271,0.00110362,0.00110362,0.00110362
25,501.642,1.07361,0.66722,1.14197,0.94158,0.9383,0.96597,0.67685,1.09581,0.54254,1.09883,0.00108947,0.00108947,0.00108947
26,521.68,1.07387,0.66687,1.15002,0.96604,0.94181,0.97477,0.68758,1.07871,0.52216,1.09049,0.00107532,0.00107532,0.00107532
27,541.26,1.06546,0.65688,1.1448,0.9565,0.95403,0.97629,0.69138,1.03998,0.50563,1.06344,0.00106118,0.00106118,0.00106118
28,560.541,1.06661,0.65307,1.14372,0.95146,0.94933,0.97684,0.69799,1.06002,0.50891,1.07423,0.00104703,0.00104703,0.00104703
29,580.723,1.05679,0.65057,1.13431,0.96894,0.94533,0.97428,0.68968,1.03869,0.51654,1.06358,0.00103288,0.00103288,0.00103288
30,600.07,1.05118,0.64075,1.13211,0.951,0.95534,0.97443,0.69139,1.06472,0.51242,1.06963,0.00101873,0.00101873,0.00101873
31,619.418,1.04355,0.63753,1.1283,0.9705,0.95153,0.97744,0.67226,1.12213,0.51828,1.098,0.00100459,0.00100459,0.00100459
32,639.527,1.03457,0.62139,1.12467,0.95674,0.95027,0.97571,0.71164,1.02099,0.4816,1.04377,0.00099044,0.00099044,0.00099044
33,658.802,1.02404,0.60946,1.11896,0.96011,0.95565,0.97655,0.7057,1.02951,0.48344,1.05947,0.000976293,0.000976293,0.000976293
34,678.126,1.03177,0.61067,1.12992,0.94372,0.9604,0.97819,0.70889,1.0305,0.48401,1.05192,0.000962146,0.000962146,0.000962146
35,697.77,1.02446,0.62495,1.12292,0.95874,0.95149,0.97663,0.70126,1.04217,0.48502,1.0647,0.000947999,0.000947999,0.000947999
36,717.601,1.02184,0.61142,1.1166,0.96821,0.96131,0.97885,0.70799,1.02243,0.45958,1.0525,0.000933851,0.000933851,0.000933851
37,736.874,0.99996,0.6007,1.10759,0.96656,0.9584,0.97719,0.70136,1.04342,0.47665,1.06058,0.000919704,0.000919704,0.000919704
38,756.722,1.00295,0.58602,1.10849,0.96365,0.96419,0.97728,0.70323,1.03378,0.47689,1.06161,0.000905557,0.000905557,0.000905557
39,776.116,1.00244,0.59451,1.10935,0.96748,0.96922,0.98012,0.71517,1.00129,0.46081,1.04385,0.00089141,0.00089141,0.00089141
40,795.832,0.989,0.58457,1.10237,0.97317,0.94339,0.97807,0.71464,1.01537,0.46937,1.04959,0.000877263,0.000877263,0.000877263
41,815.699,0.9953,0.58774,1.10249,0.96287,0.96335,0.97763,0.71401,1.0172,0.44586,1.04875,0.000863116,0.000863116,0.000863116
42,835.039,0.98494,0.57098,1.09935,0.9659,0.95374,0.97912,0.71001,1.02274,0.45964,1.05459,0.000848969,0.000848969,0.000848969
43,854.438,0.99795,0.5884,1.1092,0.96397,0.95863,0.97608,0.70554,1.02249,0.4605,1.05582,0.000834822,0.000834822,0.000834822
44,874.54,0.98615,0.57472,1.09669,0.9671,0.95965,0.97996,0.703,1.03233,0.46046,1.06465,0.000820675,0.000820675,0.000820675
45,893.885,0.98219,0.57093,1.09342,0.95877,0.95285,0.97517,0.69834,1.04011,0.47785,1.05622,0.000806528,0.000806528,0.000806528
