epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.3621,1.27026,2.08908,1.4184,0.81725,0.71951,0.80894,0.48562,1.35197,1.60737,1.46474,0.000472553,0.000472553,0.000472553
2,63.7903,1.31458,1.44121,1.44909,0.74802,0.72856,0.8041,0.45173,1.45824,1.3934,1.6607,0.000939492,0.000939492,0.000939492
3,93.2333,1.3084,1.23278,1.47809,0.62487,0.50297,0.52373,0.2621,1.72117,2.67169,1.94356,0.001397,0.001397,0.001397
4,122.369,1.35474,1.16294,1.52041,0.88446,0.81756,0.9035,0.52073,1.41661,1.02342,1.56412,0.00138656,0.00138656,0.00138656
5,151.252,1.28771,1.03943,1.46848,0.84748,0.84351,0.9012,0.55116,1.32458,1.00213,1.49103,0.00137241,0.00137241,0.00137241
6,180.857,1.25006,0.97071,1.44352,0.82783,0.83559,0.88246,0.53923,1.31058,1.0971,1.50373,0.00135826,0.00135826,0.00135826
7,209.873,1.23822,0.92924,1.43456,0.88811,0.80585,0.88533,0.56892,1.24385,0.84852,1.46129,0.00134412,0.00134412,0.00134412
8,238.765,1.22467,0.87581,1.43924,0.89182,0.90362,0.94082,0.61669,1.21615,0.7409,1.48195,0.00132997,0.00132997,0.00132997
9,268.239,1.20543,0.84599,1.43292,0.92455,0.89659,0.9506,0.62036,1.21024,0.74107,1.45193,0.00131582,0.00131582,0.00131582
10,297.222,1.19219,0.81591,1.42655,0.91498,0.83298,0.92782,0.58695,1.28294,0.84595,1.49497,0.00130168,0.00130168,0.00130168
11,326.252,1.17152,0.80128,1.41403,0.90551,0.90739,0.95785,0.64777,1.12398,0.73128,1.38406,0.00128753,0.00128753,0.00128753
12,355.618,1.16508,0.79422,1.41556,0.94756,0.94171,0.97277,0.64609,1.14602,0.6126,1.39298,0.00127338,0.00127338,0.00127338
13,386.225,1.16014,0.76863,1.4049,0.92054,0.9009,0.95811,0.6348,1.1702,0.68054,1.43857,0.00125923,0.00125923,0.00125923
14,415.407,1.16779,0.77865,1.41747,0.94686,0.92587,0.96544,0.6702,1.09168,0.59291,1.33027,0.00124509,0.00124509,0.00124509
15,445.623,1.13464,0.74659,1.37759,0.95041,0.9337,0.97427,0.65311,1.13274,0.5826,1.38458,0.00123094,0.00123094,0.00123094
16,476.961,1.14096,0.73674,1.38397,0.93901,0.95276,0.97474,0.66803,1.11261,0.58698,1.38176,0.00121679,0.00121679,0.00121679
17,508.292,1.11838,0.72561,1.38292,0.95582,0.9395,0.97142,0.67166,1.11497,0.55372,1.34535,0.00120265,0.00120265,0.00120265
