epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8349,1.1245,9.46873,0.01502,0.69772,0.36264,0.51832,0.35513,1.10727,3.97841,0.01521,0.000413333,0.000413333,0.000413333
2,30.035,1.21343,6.01209,0.01658,0.63692,0.62245,0.67399,0.44288,1.21707,1.66587,0.01718,0.000821783,0.000821783,0.000821783
3,43.9241,1.22451,3.43426,0.01679,0.67926,0.65918,0.73928,0.47666,1.25778,0.9863,0.01849,0.00122198,0.00122198,0.00122198
4,57.6723,1.20523,1.94467,0.01685,0.76181,0.74135,0.81015,0.52975,1.27204,0.87361,0.01861,0.00121287,0.00121287,0.00121287
5,71.4797,1.17722,1.26045,0.01601,0.78283,0.75087,0.81954,0.52786,1.2537,0.74124,0.01804,0.0012005,0.0012005,0.0012005
6,85.1341,1.13388,0.93206,0.01566,0.81932,0.80501,0.87162,0.54594,1.31567,0.65186,0.01867,0.00118812,0.00118812,0.00118812
7,98.7776,1.08323,0.73466,0.01482,0.7805,0.77729,0.84854,0.56499,1.25978,0.68742,0.01777,0.00117575,0.00117575,0.00117575
8,112.511,1.06908,0.65526,0.0145,0.82051,0.78068,0.84988,0.57252,1.2215,0.71842,0.01735,0.00116337,0.00116337,0.00116337
9,126.209,1.02915,0.60172,0.01414,0.8865,0.80305,0.90492,0.6186,1.18375,0.6876,0.01624,0.001151,0.001151,0.001151
10,139.923,0.96814,0.52234,0.013,0.88225,0.80462,0.90085,0.61332,1.21579,0.63643,0.01685,0.00113863,0.00113863,0.00113863
11,153.584,0.91969,0.49503,0.01239,0.87674,0.81202,0.89252,0.60267,1.2146,0.68192,0.01671,0.00112625,0.00112625,0.00112625
12,167.296,0.913,0.45706,0.0123,0.84827,0.8339,0.89199,0.61014,1.17965,0.60748,0.01622,0.00111388,0.00111388,0.00111388
13,180.918,0.86802,0.42477,0.01155,0.82902,0.84289,0.87847,0.60342,1.18882,0.65367,0.01631,0.0011015,0.0011015,0.0011015
14,194.545,0.85911,0.40197,0.01133,0.81275,0.7914,0.84795,0.55991,1.25385,0.68691,0.017,0.00108913,0.00108913,0.00108913
