epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.7688,1.25513,2.70352,1.27575,0.87872,0.29199,0.62893,0.41653,1.20501,2.52983,1.15431,0.000409226,0.000409226,0.000409226
2,78.6991,1.22538,1.73658,1.19746,0.66887,0.63096,0.64403,0.37107,1.39451,1.49529,1.34303,0.000817717,0.000817717,0.000817717
3,107.856,1.19477,1.35692,1.18083,0.6723,0.45932,0.61728,0.34158,1.46124,1.80354,1.38177,0.00121796,0.00121796,0.00121796
4,136.98,1.18937,1.12302,1.16516,0.61782,0.56076,0.55683,0.30054,1.62899,2.13663,1.46763,0.00121287,0.00121287,0.00121287
5,166.088,1.13767,0.93463,1.13971,0.72548,0.75054,0.73835,0.41599,1.40316,1.07762,1.26759,0.0012005,0.0012005,0.0012005
6,195.19,1.10045,0.82844,1.12267,0.59204,0.67429,0.67097,0.38959,1.46801,1.49718,1.32252,0.00118812,0.00118812,0.00118812
7,224.566,1.07092,0.75234,1.09971,0.60338,0.59165,0.60476,0.37095,1.29673,1.33982,1.22554,0.00117575,0.00117575,0.00117575
8,254.04,1.03311,0.69575,1.07487,0.79898,0.75084,0.83591,0.49119,1.2962,0.89792,1.22801,0.00116337,0.00116337,0.00116337
9,283.26,1.02114,0.65126,1.06024,0.78528,0.63382,0.7408,0.43597,1.39585,1.05097,1.2842,0.001151,0.001151,0.001151
10,312.475,0.98135,0.59868,1.04232,0.86001,0.78563,0.84729,0.53955,1.26244,0.91248,1.18834,0.00113863,0.00113863,0.00113863
11,341.65,0.93657,0.56521,1.01832,0.81777,0.81443,0.85965,0.55828,1.27985,0.82963,1.17217,0.00112625,0.00112625,0.00112625
12,370.821,0.91687,0.55283,1.00877,0.70342,0.82082,0.83253,0.52882,1.30607,1.03832,1.19598,0.00111388,0.00111388,0.00111388
13,400.128,0.90045,0.53476,0.9999,0.73305,0.83775,0.7987,0.51783,1.24272,0.88289,1.17514,0.0011015,0.0011015,0.0011015
14,429.401,0.8783,0.51897,0.98635,0.90822,0.77153,0.89639,0.59448,1.2677,0.73401,1.20393,0.00108913,0.00108913,0.00108913
15,458.604,0.85662,0.50112,0.97307,0.83102,0.85303,0.88633,0.57578,1.21822,0.799,1.14882,0.00107675,0.00107675,0.00107675
16,488.067,0.83331,0.48002,0.96037,0.84138,0.81096,0.86501,0.56044,1.25879,0.91862,1.17252,0.00106437,0.00106437,0.00106437
17,517.794,0.7913,0.46403,0.93944,0.77929,0.80544,0.8238,0.54753,1.25606,0.91727,1.16203,0.001052,0.001052,0.001052
18,547.366,0.75993,0.44738,0.92765,0.79244,0.7751,0.85222,0.55985,1.24128,0.96901,1.18309,0.00103962,0.00103962,0.00103962
19,576.391,0.74057,0.43923,0.91508,0.79725,0.83367,0.89323,0.5876,1.26225,0.77506,1.1963,0.00102725,0.00102725,0.00102725
20,605.772,0.71456,0.426,0.90442,0.78759,0.86788,0.88532,0.60195,1.23229,0.77909,1.17449,0.00101488,0.00101488,0.00101488
21,635.088,0.68783,0.40821,0.8927,0.8069,0.83921,0.87911,0.56641,1.25929,0.81521,1.20759,0.0010025,0.0010025,0.0010025
22,664.354,0.68435,0.40316,0.89004,0.89869,0.81056,0.91332,0.60586,1.24507,0.69885,1.16812,0.000990125,0.000990125,0.000990125
23,693.889,0.65787,0.4008,0.88162,0.88845,0.88041,0.91506,0.60041,1.26468,0.67608,1.16898,0.00097775,0.00097775,0.00097775
24,722.857,0.6403,0.38453,0.87346,0.79749,0.90848,0.87075,0.58873,1.21619,0.73039,1.19274,0.000965375,0.000965375,0.000965375
25,751.924,0.63554,0.38079,0.86958,0.90014,0.81893,0.91056,0.59703,1.24702,0.81274,1.19222,0.000953,0.000953,0.000953
26,781.036,0.59629,0.36165,0.85397,0.71748,0.8505,0.83246,0.56337,1.27753,1.30153,1.24788,0.000940625,0.000940625,0.000940625
27,810.209,0.57086,0.35397,0.84384,0.83334,0.81453,0.89237,0.60749,1.27545,1.06515,1.20205,0.00092825,0.00092825,0.00092825
28,839.248,0.56299,0.34432,0.83825,0.75554,0.83662,0.87047,0.58954,1.26023,0.89635,1.19807,0.000915875,0.000915875,0.000915875
29,868.417,0.54351,0.34047,0.83062,0.86586,0.84769,0.91407,0.62417,1.25354,0.74671,1.21708,0.0009035,0.0009035,0.0009035
30,897.404,0.52212,0.32574,0.82573,0.87324,0.77962,0.901,0.61152,1.26068,0.9231,1.23857,0.000891125,0.000891125,0.000891125
31,926.575,0.50226,0.31982,0.81383,0.79276,0.78328,0.84416,0.57791,1.26809,1.00859,1.207,0.00087875,0.00087875,0.00087875
32,955.598,0.49032,0.31315,0.81146,0.8394,0.81611,0.90496,0.61984,1.24118,0.89923,1.21399,0.000866375,0.000866375,0.000866375
33,984.607,0.48614,0.3122,0.80642,0.88312,0.8002,0.87779,0.59294,1.26361,1.03508,1.23121,0.000854,0.000854,0.000854
34,1013.62,0.4695,0.30116,0.8026,0.85709,0.82564,0.89368,0.6194,1.20911,0.81758,1.21381,0.000841625,0.000841625,0.000841625
35,1042.62,0.4465,0.29138,0.7948,0.89427,0.83337,0.90556,0.62177,1.23481,0.74733,1.21968,0.00082925,0.00082925,0.00082925
36,1071.78,0.43695,0.28928,0.78959,0.82425,0.8827,0.90362,0.61608,1.23721,0.7887,1.21946,0.000816875,0.000816875,0.000816875
37,1100.76,0.42187,0.28192,0.78641,0.83768,0.84165,0.90554,0.62737,1.24088,0.85623,1.21777,0.0008045,0.0008045,0.0008045
38,1129.93,0.41067,0.27336,0.78291,0.78095,0.8051,0.87561,0.59878,1.27225,1.2727,1.257,0.000792125,0.000792125,0.000792125
39,1158.83,0.39367,0.27114,0.77886,0.86475,0.84091,0.9186,0.64363,1.20937,0.77877,1.21841,0.00077975,0.00077975,0.00077975
40,1187.93,0.38357,0.27055,0.77509,0.8689,0.8163,0.89534,0.62023,1.24821,0.98435,1.23943,0.000767375,0.000767375,0.000767375
41,1216.94,0.36859,0.25906,0.77138,0.90875,0.83464,0.92555,0.63879,1.20767,0.84011,1.22226,0.000755,0.000755,0.000755
42,1246.12,0.3542,0.25107,0.76637,0.90319,0.77556,0.91963,0.64629,1.20928,0.91564,1.21794,0.000742625,0.000742625,0.000742625
43,1274.93,0.35998,0.24935,0.76696,0.84813,0.79747,0.87169,0.59508,1.26253,1.09285,1.24662,0.00073025,0.00073025,0.00073025
44,1303.88,0.34348,0.24328,0.76284,0.80861,0.86981,0.90254,0.62193,1.2202,0.88447,1.24505,0.000717875,0.000717875,0.000717875
45,1332.83,0.32857,0.23591,0.75948,0.81746,0.85554,0.90956,0.62661,1.24528,0.87913,1.26687,0.0007055,0.0007055,0.0007055
46,1361.89,0.31998,0.23175,0.75701,0.85582,0.85877,0.93006,0.64785,1.20573,0.76001,1.23262,0.000693125,0.000693125,0.000693125
47,1390.82,0.31527,0.23152,0.75457,0.78298,0.81894,0.84913,0.59209,1.24302,1.25285,1.25251,0.00068075,0.00068075,0.00068075
48,1419.78,0.30981,0.22751,0.75292,0.82889,0.86109,0.92512,0.63685,1.20909,0.8567,1.24248,0.000668375,0.000668375,0.000668375
49,1448.82,0.30239,0.22474,0.75102,0.80428,0.81095,0.85226,0.58474,1.27317,1.22219,1.28025,0.000656,0.000656,0.000656
50,1477.84,0.29557,0.22159,0.75074,0.81752,0.8082,0.89077,0.60967,1.26772,1.09559,1.26532,0.000643625,0.000643625,0.000643625
51,1506.85,0.28542,0.2154,0.74757,0.89855,0.85093,0.93457,0.65071,1.22452,0.78259,1.23446,0.00063125,0.00063125,0.00063125
52,1535.97,0.2651,0.20208,0.74286,0.90229,0.82163,0.93237,0.65199,1.21235,0.77709,1.23825,0.000618875,0.000618875,0.000618875
53,1564.97,0.26115,0.20352,0.74247,0.87874,0.79692,0.91388,0.63833,1.21395,0.94354,1.25177,0.0006065,0.0006065,0.0006065
54,1593.79,0.25945,0.19951,0.74262,0.79728,0.83376,0.90401,0.63199,1.23032,1.13703,1.25034,0.000594125,0.000594125,0.000594125
55,1622.77,0.25233,0.19512,0.73994,0.85507,0.85533,0.9334,0.6529,1.24056,0.8961,1.2545,0.00058175,0.00058175,0.00058175
56,1651.97,0.2451,0.18827,0.7384,0.85118,0.796,0.90978,0.63228,1.23657,0.94906,1.25433,0.000569375,0.000569375,0.000569375
57,1681,0.2332,0.18232,0.73627,0.88563,0.81102,0.9251,0.6417,1.23254,0.83719,1.2652,0.000557,0.000557,0.000557
58,1710.16,0.22567,0.17971,0.73527,0.83458,0.82284,0.92413,0.64299,1.22724,1.03902,1.26089,0.000544625,0.000544625,0.000544625
59,1739.17,0.22314,0.17908,0.73433,0.92493,0.81517,0.93177,0.6572,1.19143,0.77141,1.24437,0.00053225,0.00053225,0.00053225
60,1768.2,0.21639,0.17581,0.73325,0.88428,0.85569,0.92883,0.65616,1.20209,0.77883,1.23264,0.000519875,0.000519875,0.000519875
61,1797.28,0.2089,0.17059,0.73161,0.85845,0.82548,0.91096,0.63666,1.19973,0.86589,1.2426,0.0005075,0.0005075,0.0005075
62,1826.28,0.20405,0.16784,0.73059,0.82216,0.84531,0.90595,0.6325,1.21935,0.99706,1.26455,0.000495125,0.000495125,0.000495125
63,1855.35,0.19543,0.16324,0.72965,0.89956,0.80059,0.92529,0.65126,1.20822,0.9049,1.2484,0.00048275,0.00048275,0.00048275
64,1884.53,0.19241,0.16105,0.72868,0.85727,0.86531,0.93133,0.64855,1.20376,0.83137,1.24463,0.000470375,0.000470375,0.000470375
65,1913.48,0.18826,0.15736,0.72811,0.9365,0.79807,0.93154,0.6517,1.20491,0.83007,1.25726,0.000458,0.000458,0.000458
66,1942.68,0.18237,0.1542,0.72803,0.89155,0.79502,0.92047,0.63386,1.21024,0.85144,1.24848,0.000445625,0.000445625,0.000445625
67,1971.66,0.17196,0.14856,0.72579,0.88777,0.79275,0.92729,0.64821,1.1998,0.87135,1.24694,0.00043325,0.00043325,0.00043325
68,2000.64,0.16879,0.14545,0.72501,0.89333,0.82905,0.92953,0.65553,1.18823,0.88289,1.25056,0.000420875,0.000420875,0.000420875
69,2029.72,0.17003,0.1465,0.72494,0.89423,0.80366,0.93172,0.64758,1.19649,0.82549,1.26352,0.0004085,0.0004085,0.0004085
70,2058.85,0.16258,0.14289,0.72452,0.89361,0.79628,0.91892,0.64034,1.20319,0.87883,1.25568,0.000396125,0.000396125,0.000396125
71,2087.89,0.15655,0.13839,0.72337,0.85655,0.81422,0.92196,0.64856,1.19049,0.95716,1.2594,0.00038375,0.00038375,0.00038375
72,2117.09,0.1504,0.13376,0.7231,0.88076,0.77742,0.91096,0.64512,1.19618,1.00667,1.26446,0.000371375,0.000371375,0.000371375
73,2146.05,0.1525,0.13519,0.72372,0.87643,0.81437,0.92181,0.65116,1.20269,0.89433,1.27535,0.000359,0.000359,0.000359
74,2175.16,0.14663,0.13131,0.72291,0.90662,0.79988,0.92967,0.65572,1.20637,0.91727,1.26927,0.000346625,0.000346625,0.000346625
75,2204.03,0.14422,0.12829,0.72223,0.90548,0.75747,0.92429,0.64668,1.21924,1.02326,1.28254,0.00033425,0.00033425,0.00033425
76,2233.02,0.13199,0.1217,0.72086,0.93198,0.77834,0.93749,0.65704,1.20681,0.90505,1.26939,0.000321875,0.000321875,0.000321875
77,2261.98,0.13023,0.12007,0.7207,0.88307,0.85148,0.9352,0.65651,1.19846,0.8356,1.25776,0.0003095,0.0003095,0.0003095
78,2290.98,0.12797,0.12004,0.72063,0.89935,0.79188,0.92509,0.64744,1.20815,0.88804,1.27263,0.000297125,0.000297125,0.000297125
79,2319.96,0.12381,0.11603,0.7201,0.86192,0.84722,0.93429,0.65668,1.204,0.82366,1.27183,0.00028475,0.00028475,0.00028475
80,2348.94,0.11791,0.11235,0.71916,0.84274,0.83619,0.92793,0.65026,1.20793,0.9191,1.27514,0.000272375,0.000272375,0.000272375
81,2377.99,0.11637,0.11133,0.71945,0.86911,0.84332,0.93346,0.65431,1.20002,0.85025,1.27951,0.00026,0.00026,0.00026
82,2406.95,0.10917,0.10612,0.71861,0.85198,0.84633,0.93153,0.65242,1.20814,0.90882,1.27756,0.000247625,0.000247625,0.000247625
83,2435.89,0.10455,0.10215,0.71929,0.88235,0.83806,0.93299,0.65224,1.19971,0.85649,1.28392,0.00023525,0.00023525,0.00023525
84,2464.91,0.10137,0.10016,0.71831,0.87138,0.84861,0.93295,0.65051,1.20918,0.89654,1.27563,0.000222875,0.000222875,0.000222875
85,2493.91,0.09972,0.09857,0.71784,0.88768,0.84255,0.93601,0.6561,1.19837,0.81803,1.27863,0.0002105,0.0002105,0.0002105
86,2522.73,0.09549,0.0958,0.71739,0.86062,0.84519,0.93652,0.65572,1.19304,0.87149,1.28333,0.000198125,0.000198125,0.000198125
87,2551.71,0.09281,0.09408,0.71758,0.85387,0.86882,0.92947,0.6517,1.19708,0.87093,1.2789,0.00018575,0.00018575,0.00018575
88,2580.67,0.08774,0.09101,0.7169,0.87745,0.83567,0.93376,0.65706,1.1965,0.89603,1.28039,0.000173375,0.000173375,0.000173375
89,2610.09,0.08441,0.08903,0.71594,0.87121,0.83487,0.93152,0.6563,1.20177,0.90892,1.28739,0.000161,0.000161,0.000161
90,2639.03,0.07991,0.08602,0.71689,0.89729,0.80457,0.93484,0.65928,1.19528,0.91454,1.27937,0.000148625,0.000148625,0.000148625
91,2668.43,0.07712,0.08339,0.71625,0.88092,0.82317,0.93263,0.65728,1.19238,0.90596,1.27578,0.00013625,0.00013625,0.00013625
92,2697.6,0.07766,0.08233,0.71628,0.88407,0.82823,0.93534,0.65617,1.20216,0.92955,1.28768,0.000123875,0.000123875,0.000123875
93,2726.77,0.07259,0.07974,0.71639,0.89293,0.82143,0.93596,0.66026,1.19943,0.92309,1.2847,0.0001115,0.0001115,0.0001115
94,2755.66,0.06729,0.07551,0.71577,0.88799,0.82055,0.93538,0.65507,1.19637,0.93163,1.28029,9.9125e-05,9.9125e-05,9.9125e-05
95,2784.59,0.06641,0.07471,0.71599,0.88884,0.83151,0.93771,0.65835,1.19736,0.92467,1.28316,8.675e-05,8.675e-05,8.675e-05
96,2813.81,0.06385,0.07234,0.71547,0.87529,0.8406,0.93627,0.65544,1.19736,0.92647,1.28119,7.4375e-05,7.4375e-05,7.4375e-05
97,2842.76,0.06088,0.07056,0.71516,0.88339,0.8284,0.93555,0.6547,1.19579,0.93239,1.28471,6.2e-05,6.2e-05,6.2e-05
98,2871.77,0.05918,0.06905,0.71497,0.88193,0.83332,0.93723,0.658,1.19931,0.93973,1.28501,4.9625e-05,4.9625e-05,4.9625e-05
99,2900.82,0.05689,0.06694,0.7148,0.87845,0.83097,0.935,0.6548,1.19918,0.9599,1.28551,3.725e-05,3.725e-05,3.725e-05
100,2929.76,0.05483,0.06505,0.71515,0.89439,0.821,0.93595,0.65692,1.19839,0.95342,1.28537,2.4875e-05,2.4875e-05,2.4875e-05
