epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.4529,1.24519,6.29255,0.01303,0.40769,0.57155,0.33827,0.2082,1.0898,4.8368,0.01513,0.000410053,0.000410053,0.000410053
2,39.3921,1.28884,4.17752,0.0135,0.59879,0.56802,0.58879,0.37276,1.20888,2.83617,0.01671,0.000818535,0.000818535,0.000818535
3,56.4599,1.34628,2.94956,0.01474,0.67777,0.61742,0.69658,0.37443,1.45588,1.22697,0.02167,0.00121877,0.00121877,0.00121877
4,73.4126,1.3845,2.10237,0.01541,0.65886,0.69016,0.76989,0.4945,1.25455,0.96533,0.01828,0.00121287,0.00121287,0.00121287
5,90.3653,1.36995,1.57882,0.01494,0.72393,0.73916,0.78505,0.48293,1.28304,0.7791,0.01908,0.0012005,0.0012005,0.0012005
6,107.366,1.37218,1.34794,0.01459,0.69783,0.72897,0.7676,0.48313,1.25104,0.85618,0.01798,0.00118812,0.00118812,0.00118812
7,124.446,1.33517,1.14803,0.01421,0.77531,0.77969,0.83149,0.55075,1.25694,0.72243,0.01825,0.00117575,0.00117575,0.00117575
8,141.307,1.31772,1.072,0.01432,0.7893,0.75084,0.82238,0.54635,1.23439,0.72668,0.01804,0.00116337,0.00116337,0.00116337
9,158.317,1.3209,1.01141,0.01411,0.7712,0.81954,0.86428,0.55725,1.22523,0.68855,0.01751,0.001151,0.001151,0.001151
10,175.287,1.30031,1.00782,0.01371,0.81503,0.7887,0.82636,0.54799,1.25827,0.72536,0.01763,0.00113863,0.00113863,0.00113863
11,192.14,1.31402,0.90385,0.01385,0.84721,0.79623,0.8505,0.52871,1.31653,0.62592,0.01893,0.00112625,0.00112625,0.00112625
12,209.209,1.2905,0.88873,0.01387,0.85892,0.8464,0.90515,0.58927,1.23951,0.55642,0.0176,0.00111388,0.00111388,0.00111388
