                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3806,                 2.7113,                 1.3232,                 1.2367,                 6.1173,                 1.2258,                0.00632,                0.90557,                0.29749,                 0.1889,                 1.2472,                 3.1004,                 1.2712,                 1.0258,                 8.2727,                 1.1328,             0.00041005,             0.00041005,             0.00041005
                      2,                 1.4095,                 1.7738,                 1.3139,                 1.3518,                 4.4684,                 1.2693,                0.40624,                0.40586,                0.33902,                0.20046,                 1.3638,                  2.485,                  1.346,                 1.2918,                  6.225,                 1.2961,             0.00081854,             0.00081854,             0.00081854
                      3,                 1.4575,                 1.5802,                 1.3334,                 1.4232,                   3.36,                  1.295,                 0.2583,                0.18566,                0.13061,                0.05989,                 1.9246,                 5.7247,                 1.7233,                 1.8424,                 5.8875,                 1.6714,              0.0012188,              0.0012188,              0.0012188
                      4,                 1.4817,                 1.4614,                 1.3436,                 1.4877,                 2.4672,                 1.3121,                 0.4751,                0.39458,                0.41939,                0.22193,                 1.5152,                 1.9984,                 1.4017,                 1.4932,                 2.7776,                 1.4383,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.4583,                 1.3297,                  1.332,                 1.4756,                 1.9337,                 1.3019,                 0.5086,                0.44535,                0.44131,                0.23903,                 1.5182,                 1.5853,                 1.3911,                 1.5187,                 2.3184,                 1.3959,              0.0012129,              0.0012129,              0.0012129
                      6,                 1.3924,                 1.1557,                 1.2845,                 1.4397,                 1.5861,                 1.2641,                0.52601,                0.53499,                0.57498,                0.35072,                  1.308,                 1.1074,                 1.2466,                 1.4029,                 1.6482,                   1.28,              0.0012005,              0.0012005,              0.0012005
                      7,                 1.3725,                 1.0854,                 1.2656,                 1.4358,                 1.4191,                 1.2541,                0.56359,                0.64607,                0.62809,                0.38664,                 1.2959,                  1.245,                 1.2104,                 1.3156,                 1.5267,                 1.2138,              0.0011881,              0.0011881,              0.0011881
                      8,                 1.3386,                 1.0523,                 1.2638,                 1.4044,                 1.3245,                 1.2448,                0.71851,                0.72517,                0.76262,                0.47432,                 1.2337,                0.93802,                 1.1619,                 1.2691,                  1.057,                 1.1533,              0.0011757,              0.0011757,              0.0011757
                      9,                 1.3358,                 0.9925,                 1.2535,                 1.4121,                 1.2248,                 1.2482,                0.59854,                0.68644,                 0.6865,                0.41399,                 1.2931,                 1.0347,                 1.2061,                 1.3374,                 1.2791,                 1.2142,              0.0011634,              0.0011634,              0.0011634
                     10,                 1.3441,                 0.9517,                 1.2456,                 1.4191,                 1.1357,                 1.2241,                0.74561,                0.76551,                0.81754,                 0.5063,                 1.2232,                0.75327,                 1.1316,                 1.3078,                0.91229,                 1.1534,               0.001151,               0.001151,               0.001151
                     11,                 1.2752,                0.89532,                 1.2173,                  1.368,                 1.0667,                 1.2005,                0.83745,                0.79199,                 0.8435,                0.52792,                 1.1977,                0.73402,                  1.141,                 1.2254,                0.77485,                 1.1378,              0.0011386,              0.0011386,              0.0011386
                     12,                 1.2829,                0.87938,                 1.2172,                 1.3524,                  1.042,                 1.1931,                0.74696,                0.72927,                0.79541,                0.50237,                 1.2375,                0.86998,                  1.163,                 1.2937,                 1.0394,                 1.1728,              0.0011263,              0.0011263,              0.0011263
                     13,                 1.2701,                 0.8625,                  1.213,                   1.35,                 1.0032,                 1.1924,                0.67424,                0.80459,                0.76953,                0.51693,                 1.1602,                0.74678,                 1.0993,                 1.1775,                0.83108,                 1.0908,              0.0011139,              0.0011139,              0.0011139
                     14,                 1.2414,                 0.8525,                 1.2021,                 1.3183,                0.98432,                 1.1833,                0.77044,                0.77853,                0.82632,                0.53414,                 1.2401,                0.74719,                 1.1528,                 1.2569,                0.77797,                 1.1399,              0.0011015,              0.0011015,              0.0011015
                     15,                 1.2529,                0.85014,                 1.2058,                 1.3377,                 0.9566,                 1.1953,                 0.8397,                0.67203,                0.78925,                0.52078,                 1.2156,                0.78779,                 1.1732,                 1.2576,                 0.8359,                 1.1783,              0.0010891,              0.0010891,              0.0010891
                     16,                 1.2405,                0.80786,                 1.2059,                 1.3313,                0.90773,                 1.1947,                0.74655,                0.79467,                0.82273,                0.54531,                 1.1989,                0.69805,                 1.1125,                 1.2268,                0.72121,                 1.1065,              0.0010768,              0.0010768,              0.0010768
                     17,                 1.2142,                 0.8115,                 1.1848,                 1.3077,                0.89768,                 1.1766,                0.85176,                0.81878,                0.86014,                0.57468,                 1.1335,                0.66174,                 1.0881,                 1.1648,                 0.6864,                 1.0946,              0.0010644,              0.0010644,              0.0010644
                     18,                  1.199,                0.78333,                 1.1813,                 1.2749,                0.87195,                 1.1685,                0.86443,                0.82305,                0.89102,                0.59644,                 1.1916,                0.66125,                 1.1165,                 1.2135,                0.64723,                 1.0997,               0.001052,               0.001052,               0.001052
                     19,                 1.2075,                0.77823,                 1.1855,                 1.2886,                 0.8511,                 1.1714,                0.77416,                0.83243,                 0.8619,                0.53007,                 1.2542,                0.70594,                 1.1614,                 1.2818,                0.70833,                 1.1476,              0.0010396,              0.0010396,              0.0010396
                     20,                 1.2049,                0.76986,                 1.1805,                 1.2831,                0.83579,                 1.1658,                0.85205,                0.78104,                0.85001,                0.56431,                 1.1595,                0.64989,                 1.1123,                 1.2079,                0.67259,                 1.1145,              0.0010273,              0.0010273,              0.0010273
                     21,                 1.1918,                0.75385,                 1.1718,                 1.2845,                0.82565,                 1.1605,                0.86925,                0.80906,                0.88925,                0.56926,                 1.1349,                0.68773,                 1.0899,                 1.1898,                0.64531,                 1.0989,              0.0010149,              0.0010149,              0.0010149
                     22,                 1.1833,                0.75426,                 1.1729,                 1.2686,                0.82316,                 1.1609,                0.83249,                0.76487,                0.84193,                0.54027,                 1.2194,                0.65745,                  1.133,                 1.2963,                0.72962,                 1.1368,              0.0010025,              0.0010025,              0.0010025
                     23,                 1.1858,                0.74628,                 1.1746,                 1.2687,                0.81596,                 1.1645,                0.80077,                0.86465,                0.88802,                0.60912,                 1.1121,                0.59757,                 1.0653,                 1.1584,                0.60658,                 1.0672,             0.00099013,             0.00099013,             0.00099013
                     24,                 1.1761,                0.73422,                 1.1653,                 1.2598,                0.79924,                 1.1489,                0.85465,                0.82952,                 0.8893,                 0.6014,                 1.1336,                0.63891,                 1.0892,                 1.1863,                0.60852,                 1.0919,             0.00097775,             0.00097775,             0.00097775
                     25,                 1.1706,                0.72744,                 1.1652,                 1.2668,                0.77071,                  1.151,                0.88874,                  0.829,                0.91096,                0.61915,                 1.1195,                0.61083,                 1.0702,                 1.1618,                0.57497,                 1.0698,             0.00096537,             0.00096537,             0.00096537
                     26,                 1.1558,                 0.7142,                 1.1552,                 1.2496,                0.75391,                 1.1362,                0.90768,                0.82042,                0.91326,                 0.6241,                 1.1086,                0.58168,                  1.076,                 1.1431,                0.54622,                 1.0731,               0.000953,               0.000953,               0.000953
                     27,                 1.1615,                0.71636,                  1.152,                 1.2421,                0.76104,                 1.1338,                0.87871,                0.85488,                0.90413,                0.61829,                 1.1159,                0.60803,                 1.0749,                  1.148,                 0.5605,                 1.0612,             0.00094062,             0.00094062,             0.00094062
                     28,                 1.1389,                0.71005,                  1.137,                 1.2278,                0.74636,                 1.1188,                0.84687,                0.86163,                0.90757,                0.63568,                 1.0839,                 0.5631,                 1.0603,                 1.1237,                 0.5595,                 1.0512,             0.00092825,             0.00092825,             0.00092825
                     29,                 1.1505,                 0.7151,                 1.1585,                 1.2293,                 0.7641,                 1.1399,                0.87021,                0.84263,                 0.9049,                0.62058,                 1.1386,                0.59253,                  1.087,                  1.156,                0.57604,                 1.0616,             0.00091588,             0.00091588,             0.00091588
                     30,                 1.1344,                 0.7056,                  1.139,                 1.2171,                0.77171,                 1.1274,                0.86107,                 0.8362,                0.90821,                0.62393,                 1.1512,                0.57025,                  1.079,                 1.1562,                0.57024,                 1.0561,              0.0009035,              0.0009035,              0.0009035
                     31,                 1.1255,                0.67029,                 1.1371,                 1.2088,                0.70747,                 1.1248,                0.85918,                0.87824,                0.89406,                0.60983,                  1.136,                0.60286,                 1.0819,                 1.1699,                0.59454,                 1.0799,             0.00089112,             0.00089112,             0.00089112
                     32,                 1.1222,                 0.6765,                 1.1413,                 1.2076,                0.72849,                 1.1316,                0.84204,                0.79859,                0.88887,                0.60636,                  1.117,                0.61304,                 1.0822,                 1.1524,                0.64077,                  1.063,             0.00087875,             0.00087875,             0.00087875
                     33,                 1.1148,                0.67188,                 1.1356,                 1.1968,                0.70149,                 1.1176,                0.87064,                0.86126,                0.91531,                0.62854,                 1.1241,                0.56163,                 1.0953,                 1.1715,                 0.5439,                 1.0901,             0.00086637,             0.00086637,             0.00086637
                     34,                 1.1185,                0.67373,                 1.1359,                 1.1834,                0.71532,                 1.1207,                0.87529,                0.87116,                0.92178,                0.65379,                 1.0889,                0.56769,                 1.0653,                 1.1221,                0.56003,                 1.0488,               0.000854,               0.000854,               0.000854
                     35,                 1.1053,                0.65815,                 1.1267,                 1.1779,                 0.6862,                 1.1118,                0.90335,                 0.8247,                0.90963,                0.62362,                 1.1292,                0.56899,                 1.0678,                 1.1785,                0.54443,                 1.0657,             0.00084162,             0.00084162,             0.00084162
                     36,                 1.1198,                0.66814,                 1.1386,                 1.1896,                0.70271,                 1.1215,                 0.8805,                0.87012,                0.92374,                0.64639,                 1.0714,                0.53291,                 1.0457,                 1.0987,                0.52015,                 1.0301,             0.00082925,             0.00082925,             0.00082925
                     37,                 1.0992,                0.65358,                 1.1228,                 1.1792,                0.68918,                 1.1191,                0.91226,                0.88427,                0.92652,                0.65064,                 1.0763,                0.53147,                 1.0534,                 1.1062,                0.49539,                 1.0428,             0.00081688,             0.00081688,             0.00081688
                     38,                 1.0901,                0.64843,                 1.1222,                 1.1747,                0.67668,                 1.1137,                0.90746,                0.88315,                0.91572,                0.63515,                 1.0842,                0.52878,                 1.0413,                 1.1331,                 0.4945,                 1.0469,              0.0008045,              0.0008045,              0.0008045
                     39,                 1.0783,                0.63166,                 1.1147,                 1.1533,                  0.667,                 1.1043,                0.88541,                0.86551,                0.91701,                0.64245,                 1.0717,                0.53999,                 1.0439,                 1.1077,                 0.5233,                   1.04,             0.00079213,             0.00079213,             0.00079213
                     40,                  1.081,                0.62771,                 1.1154,                 1.1627,                0.65293,                 1.1057,                0.93622,                0.86903,                  0.927,                0.64852,                 1.0914,                 0.5424,                 1.0539,                 1.1315,                0.51914,                 1.0526,             0.00077975,             0.00077975,             0.00077975
                     41,                 1.0834,                0.63772,                 1.1135,                 1.1637,                0.67566,                 1.1043,                0.87852,                0.85592,                0.91933,                0.62984,                 1.1021,                0.57851,                 1.0631,                 1.1487,                0.54689,                 1.0631,             0.00076738,             0.00076738,             0.00076738
                     42,                 1.0499,                0.60516,                 1.0979,                  1.125,                0.61671,                 1.0883,                0.89115,                0.87853,                0.93084,                0.65079,                 1.0971,                0.53483,                  1.052,                 1.1268,                 0.4947,                 1.0443,               0.000755,               0.000755,               0.000755
                     43,                 1.0713,                0.61321,                 1.1135,                 1.1372,                0.61906,                 1.0998,                0.88957,                 0.9014,                0.93768,                 0.6572,                 1.0685,                0.51094,                 1.0415,                 1.0987,                0.48016,                 1.0321,             0.00074263,             0.00074263,             0.00074263
                     44,                 1.0523,                0.61631,                    1.1,                 1.1298,                0.63432,                 1.0873,                0.91934,                0.87152,                0.91615,                0.63467,                 1.0651,                0.52985,                 1.0355,                 1.1098,                0.52554,                 1.0305,             0.00073025,             0.00073025,             0.00073025
                     45,                 1.0432,                0.60132,                 1.0979,                 1.1172,                0.62043,                 1.0832,                0.90903,                0.91242,                0.94373,                0.65622,                 1.0709,                0.51047,                 1.0444,                 1.1217,                0.47628,                 1.0305,             0.00071788,             0.00071788,             0.00071788
                     46,                 1.0554,                0.60204,                  1.106,                 1.1316,                0.62162,                 1.0916,                0.93222,                0.88384,                0.94473,                0.66342,                 1.0666,                0.48296,                 1.0396,                 1.1079,                0.45717,                 1.0297,              0.0007055,              0.0007055,              0.0007055
                     47,                 1.0196,                0.59574,                 1.0888,                 1.1033,                0.61898,                  1.077,                0.88651,                0.87423,                0.92718,                0.64993,                 1.0591,                0.50567,                 1.0506,                 1.0862,                0.48732,                 1.0336,             0.00069313,             0.00069313,             0.00069313
                     48,                 1.0412,                0.58123,                 1.0951,                 1.1109,                   0.59,                 1.0788,                0.89275,                0.87615,                0.92797,                 0.6602,                  1.032,                0.51008,                 1.0196,                 1.0695,                0.49588,                 1.0101,             0.00068075,             0.00068075,             0.00068075
                     49,                 1.0406,                 0.5998,                 1.1027,                 1.1101,                0.62029,                 1.0898,                0.90595,                0.85552,                0.91955,                0.64779,                 1.0346,                0.50893,                 1.0257,                 1.0743,                0.49178,                 1.0236,             0.00066838,             0.00066838,             0.00066838
                     50,                 1.0292,                0.58427,                 1.0838,                 1.0997,                0.61402,                 1.0702,                0.91637,                0.90212,                0.93486,                0.64229,                 1.0627,                0.49866,                 1.0326,                  1.097,                0.48102,                 1.0271,               0.000656,               0.000656,               0.000656
                     51,                  1.022,                0.59183,                  1.093,                 1.0978,                0.61292,                 1.0768,                0.88361,                0.91392,                0.93699,                0.67181,                  1.067,                0.49227,                 1.0366,                  1.099,                0.47135,                 1.0225,             0.00064362,             0.00064362,             0.00064362
                     52,                 1.0487,                0.58001,                 1.0982,                 1.1186,                0.58461,                 1.0767,                0.90129,                 0.8669,                0.92862,                0.65641,                 1.0957,                0.50644,                 1.0576,                 1.1262,                0.48302,                 1.0384,             0.00063125,             0.00063125,             0.00063125
                     53,                 1.0198,                0.57253,                 1.0872,                 1.0974,                0.57694,                 1.0714,                 0.9235,                0.88343,                0.93309,                0.66138,                 1.0553,                0.49076,                  1.033,                 1.0984,                 0.4795,                 1.0276,             0.00061887,             0.00061887,             0.00061887
                     54,                 1.0109,                0.55643,                 1.0803,                 1.0776,                0.55715,                 1.0649,                0.92926,                0.86868,                0.93647,                0.66937,                 1.0345,                0.48792,                 1.0335,                 1.0791,                0.46506,                  1.024,              0.0006065,              0.0006065,              0.0006065
                     55,                 1.0299,                 0.5896,                 1.0885,                 1.1018,                0.59264,                 1.0706,                0.90593,                0.89205,                0.93975,                0.67213,                  1.048,                 0.4912,                 1.0253,                 1.0946,                0.47158,                 1.0226,             0.00059413,             0.00059413,             0.00059413
                     56,                 1.0025,                 0.5661,                 1.0846,                 1.0767,                0.57772,                 1.0744,                0.93591,                0.88264,                0.93443,                0.65895,                 1.0657,                0.49948,                 1.0567,                 1.1091,                0.43711,                 1.0478,             0.00058175,             0.00058175,             0.00058175
                     57,                0.99466,                0.56032,                 1.0777,                  1.069,                0.57204,                 1.0672,                0.93888,                0.89884,                0.93914,                0.66138,                 1.0523,                0.48295,                 1.0337,                 1.0832,                0.43523,                 1.0223,             0.00056938,             0.00056938,             0.00056938
                     58,                0.98639,                0.54847,                 1.0703,                 1.0554,                0.55184,                 1.0584,                0.91775,                0.90239,                0.92529,                0.65462,                 1.0758,                0.49657,                 1.0419,                 1.1038,                0.50069,                 1.0293,               0.000557,               0.000557,               0.000557
                     59,                0.98348,                0.54646,                  1.073,                 1.0527,                0.55105,                 1.0599,                0.92697,                0.91658,                0.94116,                0.66882,                 1.0556,                 0.4747,                 1.0343,                 1.0789,                0.45257,                 1.0207,             0.00054463,             0.00054463,             0.00054463
                     60,                0.98865,                0.55199,                 1.0737,                 1.0583,                0.56766,                 1.0605,                0.91153,                0.92665,                0.93479,                0.65181,                 1.0667,                0.48369,                 1.0371,                 1.1039,                0.44943,                  1.023,             0.00053225,             0.00053225,             0.00053225
                     61,                0.99226,                0.55227,                 1.0775,                 1.0562,                0.56142,                  1.061,                0.92044,                0.88951,                 0.9416,                0.66632,                 1.0465,                0.47368,                 1.0275,                 1.0942,                 0.4552,                  1.022,             0.00051988,             0.00051988,             0.00051988
                     62,                0.97044,                0.53438,                  1.065,                 1.0413,                0.53394,                 1.0518,                 0.9515,                0.88992,                0.94366,                0.66944,                 1.0505,                0.48168,                 1.0244,                  1.088,                0.46183,                 1.0189,              0.0005075,              0.0005075,              0.0005075
                     63,                0.97356,                0.52571,                 1.0657,                 1.0391,                0.53573,                 1.0501,                0.92932,                0.91245,                0.93969,                0.67264,                   1.04,                0.49044,                 1.0249,                 1.0802,                0.46008,                  1.018,             0.00049513,             0.00049513,             0.00049513
