epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5586,1.39261,2.70457,1.30503,0.33722,0.66389,0.46895,0.28646,1.2585,2.84905,1.1579,0.000410053,0.000410053,0.000410053
2,22.1117,1.38086,1.73229,1.26659,0.69476,0.61515,0.68141,0.35221,1.45485,1.95222,1.30957,0.000818535,0.000818535,0.000818535
3,32.1721,1.40218,1.54053,1.29149,0.51827,0.53367,0.47777,0.2392,1.53178,1.89461,1.432,0.00121877,0.00121877,0.00121877
4,42.0885,1.4389,1.4364,1.31937,0.46283,0.52206,0.52019,0.26657,1.50023,1.75825,1.35002,0.00121287,0.00121287,0.00121287
5,52.0922,1.42611,1.27896,1.29501,0.48907,0.51537,0.51346,0.26134,1.53621,1.53568,1.46679,0.0012005,0.0012005,0.0012005
6,62.1044,1.41502,1.18286,1.2869,0.80696,0.61282,0.73045,0.4341,1.31464,1.0853,1.21635,0.00118812,0.00118812,0.00118812
7,71.9245,1.35296,1.04304,1.24961,0.61303,0.61169,0.62706,0.37686,1.29273,1.28083,1.20544,0.00117575,0.00117575,0.00117575
8,82.0263,1.32791,1.01439,1.2426,0.80826,0.63516,0.76749,0.45932,1.37035,1.02468,1.25067,0.00116337,0.00116337,0.00116337
9,91.9283,1.34427,0.99504,1.25858,0.87927,0.81036,0.88442,0.55052,1.20652,0.85009,1.16325,0.001151,0.001151,0.001151
10,101.832,1.29358,0.93716,1.2231,0.88068,0.74893,0.86833,0.55195,1.23845,0.76961,1.14716,0.00113863,0.00113863,0.00113863
11,111.644,1.29686,0.91874,1.22131,0.83461,0.79943,0.87702,0.55658,1.23956,0.76553,1.17149,0.00112625,0.00112625,0.00112625
12,121.466,1.27914,0.89946,1.2205,0.67587,0.4826,0.55296,0.31962,1.79538,1.80892,1.69741,0.00111388,0.00111388,0.00111388
13,131.706,1.25476,0.85468,1.20066,0.90129,0.8097,0.87298,0.5283,1.26147,0.73207,1.1538,0.0011015,0.0011015,0.0011015
14,142.166,1.25656,0.86468,1.20322,0.88139,0.79613,0.87611,0.56226,1.1503,0.69728,1.09677,0.00108913,0.00108913,0.00108913
15,152.71,1.23816,0.81648,1.18817,0.75821,0.8523,0.86399,0.53893,1.27402,0.80177,1.17356,0.00107675,0.00107675,0.00107675
16,163.817,1.22905,0.84086,1.19491,0.89785,0.7799,0.85512,0.49885,1.32814,0.7703,1.21511,0.00106437,0.00106437,0.00106437
17,174.254,1.22906,0.80185,1.18492,0.89676,0.81454,0.90331,0.60998,1.15773,0.69925,1.11235,0.001052,0.001052,0.001052
18,185.363,1.22005,0.80367,1.17652,0.76824,0.77945,0.84332,0.52655,1.25824,0.79473,1.14709,0.00103962,0.00103962,0.00103962
19,195.848,1.19974,0.78219,1.17761,0.93875,0.87579,0.92678,0.58957,1.21934,0.63987,1.12807,0.00102725,0.00102725,0.00102725
20,206.112,1.20593,0.76122,1.17176,0.91218,0.85725,0.93465,0.61152,1.14741,0.62244,1.10656,0.00101488,0.00101488,0.00101488
21,215.859,1.1896,0.74402,1.17071,0.87462,0.88127,0.93893,0.61706,1.18593,0.65242,1.12184,0.0010025,0.0010025,0.0010025
22,225.616,1.17901,0.75887,1.16399,0.94383,0.91649,0.95713,0.65691,1.11927,0.60527,1.08193,0.000990125,0.000990125,0.000990125
23,235.471,1.16541,0.73806,1.16275,0.86178,0.88345,0.9193,0.61141,1.19841,0.65913,1.10379,0.00097775,0.00097775,0.00097775
24,245.374,1.17348,0.73821,1.16474,0.82921,0.87526,0.91399,0.61864,1.10605,0.62978,1.07526,0.000965375,0.000965375,0.000965375
25,255.14,1.15178,0.72242,1.15301,0.87815,0.84386,0.90881,0.60448,1.14416,0.64501,1.10441,0.000953,0.000953,0.000953
26,264.995,1.15273,0.71939,1.15275,0.92504,0.89932,0.93259,0.62214,1.12289,0.58769,1.08187,0.000940625,0.000940625,0.000940625
27,274.983,1.15044,0.7121,1.15019,0.94584,0.8762,0.93783,0.63896,1.12357,0.58426,1.06648,0.00092825,0.00092825,0.00092825
28,284.714,1.13881,0.71814,1.14518,0.9445,0.87713,0.94225,0.64325,1.12456,0.57665,1.08277,0.000915875,0.000915875,0.000915875
29,294.383,1.15839,0.71144,1.15412,0.90322,0.89982,0.94198,0.62422,1.13423,0.59156,1.08689,0.0009035,0.0009035,0.0009035
30,304.072,1.13177,0.68592,1.14078,0.91414,0.88703,0.92162,0.61812,1.14746,0.60418,1.08101,0.000891125,0.000891125,0.000891125
31,313.784,1.13317,0.68835,1.13677,0.88805,0.90537,0.93852,0.65077,1.0707,0.56544,1.05816,0.00087875,0.00087875,0.00087875
32,323.816,1.12138,0.66313,1.13546,0.90959,0.89217,0.94836,0.65642,1.0856,0.55463,1.05261,0.000866375,0.000866375,0.000866375
33,333.494,1.12498,0.66772,1.13136,0.93153,0.9189,0.93672,0.65207,1.09631,0.56414,1.06212,0.000854,0.000854,0.000854
34,343.234,1.10234,0.65658,1.13124,0.94836,0.92356,0.95198,0.65815,1.13715,0.55423,1.07291,0.000841625,0.000841625,0.000841625
35,353.203,1.09577,0.65653,1.12102,0.94328,0.90472,0.94791,0.64388,1.11806,0.55639,1.08599,0.00082925,0.00082925,0.00082925
36,362.828,1.10887,0.65258,1.13294,0.9101,0.89089,0.93387,0.62327,1.12995,0.58688,1.08082,0.000816875,0.000816875,0.000816875
37,372.568,1.0872,0.6469,1.1201,0.90127,0.92427,0.9465,0.65257,1.12055,0.54557,1.07344,0.0008045,0.0008045,0.0008045
38,382.62,1.0791,0.63216,1.11402,0.937,0.92338,0.95614,0.67018,1.07224,0.5233,1.04369,0.000792125,0.000792125,0.000792125
39,392.437,1.08962,0.63826,1.11852,0.9343,0.90222,0.94227,0.66171,1.07539,0.53736,1.04086,0.00077975,0.00077975,0.00077975
40,402.231,1.08532,0.63711,1.12104,0.939,0.92637,0.94685,0.6478,1.12098,0.53687,1.06458,0.000767375,0.000767375,0.000767375
41,412.044,1.07536,0.62907,1.10773,0.93304,0.89539,0.95041,0.64601,1.10434,0.54643,1.06135,0.000755,0.000755,0.000755
42,422.142,1.07448,0.62258,1.11932,0.94372,0.90968,0.95328,0.64882,1.13819,0.53106,1.07639,0.000742625,0.000742625,0.000742625
43,431.932,1.06816,0.60898,1.10761,0.9419,0.92608,0.96413,0.66341,1.09021,0.50887,1.05245,0.00073025,0.00073025,0.00073025
44,441.728,1.05587,0.62049,1.10907,0.93795,0.90966,0.95788,0.68134,1.06168,0.51836,1.03277,0.000717875,0.000717875,0.000717875
