epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7658,1.3585,2.52974,1.40808,0.8525,0.17025,0.51192,0.30406,1.30152,2.66117,1.24334,0.000410053,0.000410053,0.000410053
2,32.2174,1.33537,1.64478,1.39715,0.79094,0.67408,0.73774,0.44854,1.22899,1.20002,1.43726,0.000818535,0.000818535,0.000818535
3,46.8613,1.34492,1.45717,1.43393,0.54074,0.62648,0.52699,0.2864,1.43466,1.7986,1.60973,0.00121877,0.00121877,0.00121877
4,61.5441,1.38653,1.36442,1.44838,0.77929,0.61475,0.70515,0.32515,1.53765,1.30197,1.57313,0.00121287,0.00121287,0.00121287
5,76.1814,1.35136,1.17062,1.4294,0.64649,0.66298,0.68822,0.34416,1.43588,1.25323,1.59827,0.0012005,0.0012005,0.0012005
6,90.6384,1.33756,1.09746,1.42186,0.7356,0.69954,0.73583,0.44553,1.29967,0.98689,1.43257,0.00118812,0.00118812,0.00118812
7,105.341,1.29739,0.99693,1.39027,0.7721,0.74436,0.78938,0.46031,1.29718,0.89022,1.44726,0.00117575,0.00117575,0.00117575
8,119.84,1.28674,0.98998,1.39965,0.65579,0.66573,0.69916,0.42689,1.27401,1.11482,1.40824,0.00116337,0.00116337,0.00116337
9,134.469,1.2883,0.94925,1.40029,0.78826,0.81404,0.87585,0.54673,1.23335,0.91039,1.40678,0.001151,0.001151,0.001151
10,148.93,1.25114,0.90998,1.38291,0.85855,0.88035,0.91327,0.59072,1.21743,0.74214,1.38576,0.00113863,0.00113863,0.00113863
11,163.524,1.28755,0.87381,1.39505,0.88817,0.81295,0.87844,0.56835,1.18015,0.689,1.33656,0.00112625,0.00112625,0.00112625
12,178.091,1.24891,0.85759,1.38599,0.88854,0.77409,0.86137,0.55836,1.20801,0.73821,1.36949,0.00111388,0.00111388,0.00111388
13,192.589,1.23553,0.83042,1.36334,0.91213,0.85502,0.90562,0.57337,1.22166,0.7132,1.37172,0.0011015,0.0011015,0.0011015
14,207.162,1.23809,0.84274,1.37379,0.694,0.7045,0.74317,0.46731,1.18719,0.85551,1.38191,0.00108913,0.00108913,0.00108913
15,221.672,1.20851,0.78822,1.35456,0.8628,0.80101,0.86292,0.56752,1.18069,0.72582,1.32767,0.00107675,0.00107675,0.00107675
16,236.158,1.19641,0.78849,1.34845,0.957,0.87482,0.93351,0.6097,1.20941,0.64466,1.37438,0.00106437,0.00106437,0.00106437
17,250.861,1.19451,0.76794,1.34612,0.87805,0.8902,0.91628,0.63375,1.10906,0.62176,1.30117,0.001052,0.001052,0.001052
18,265.423,1.1774,0.75996,1.34356,0.81047,0.86516,0.89262,0.59686,1.15792,0.68939,1.30703,0.00103962,0.00103962,0.00103962
19,279.946,1.18028,0.74379,1.35066,0.90841,0.86066,0.91777,0.60732,1.16872,0.62154,1.34778,0.00102725,0.00102725,0.00102725
20,294.598,1.17143,0.72343,1.34138,0.91376,0.86806,0.91885,0.61943,1.15329,0.59485,1.34948,0.00101488,0.00101488,0.00101488
21,309.092,1.17047,0.7164,1.3374,0.84505,0.89265,0.90669,0.58957,1.16219,0.62304,1.36318,0.0010025,0.0010025,0.0010025
